hsyk1**|좋아요! 허리가 크다고 해서 좀 걱정했는데 저한텐 딱맞고 좋네요 ㅋㅋㅋ 얇고 편해요!
vntnddl**|월요일날입금해서 오늘왔어요ㅎㅎ 고고싱에서 처음사고 슬랙스도처음사는거라 기대많이했어요 그래서 배송오자마자 받고뜯어서 바로입어봤어요! 프리사이즈로샀는데 작을꺼같았지만 저한테엄청만족 기장도알맞고 통도적당해요  제가원하던핏..♥ 옛날부터 고고싱 많이왔었는데 눈으로만만족하다가 드디어사네요ㅎㅎ완전짱 다른분들도 후회안하실꺼예요 꼭사요! 잘입을께요 감사합니다
fudgml**|포토후기 2등이요 ㅎㅎㅎㅎㅎ사이즈는 M샀어요 연청!! 배송이 평균적인 속도로 온 것 같아요~~모어댄컬러 반하이숏팬츠 블랙 M도 같이 샀었는데 그것보다는 약간 배쪽이 타이트한 것 같아요근데 그 검정반바지가 좀 헐렁한 느낌이고 이거는 평범한느낌?길이도 적당하고 색깔도 이쁜 연청이네요 만족합니다위는 약간 빡빡하고 밑은 힘이 없어요 롤업할만큼 여유는 안되구요걍 무난하게 입고 다닐 수 있겠어요평소 약간 크게 나온 27이나 28 정도 입어요 여유있게나온 S정도까지 입으시는 분까지 M 신청하시면 될 것 같아요 ㅎㅎ
yourturn**|안녕하세요^^주문하고 같이 주문한 제품이 제고가 없는 바람에 배송받는데는 시간이 조금 많이 걸리긴 했지만 제품 보고나니 기다린 시간을 보상 받는 기분일 정도로 옷이 마음에 쏙 드네요색깔도 너무 진하지도 그렇다고 아주 연하지도 않은 이쁜 카키색이라 이쁘구요  길이감도 아주 좋아요제가 키가 좀 많이 큰 편이라 길이가 어중띠면 애매하니 좀 바보같이 보이는데 이 제품은 무릎 아래로 내려와서 너무 좋아요핏도 이쁘게 떨어지구요 두께감도 딱 적당해서 너무 가벼워보이지도 무거워 보이지도 않고요고고싱에서 처음 주문해 보는데 주문한 상품 모두 다 성공했네요ㅎ  다 마음에 쏘~~옥 들어요앞으로 자주 올듯해요^^날씨가 갑자기 더워져서 주문하시는데 망설여지시는 분 계시면 사뒀다가 가을에 입어도 절대 후회하지 않으실거에요ㅎ예쁘게 잘 입을게요 번창하세요~
qortp**|바지가 완전 편함찢엊미도 적당하구!!그리고 청 느낌이 엄청 부드러워요 ㅋㅋㅋㅋ진심 신기함
qortp**|박시한 티셔츠 좋아하는데넥 부분도 짱짱하고진짜 숨 못쉴정도로 짱짱함..(장난)약간 짧은데, 하이웨스트바지 안으로 넣어서 입을 수도 있고일반 바지에도 앞부분 살짝 넣어서 입을 수 있어가꼬 좋아용블랙 샀는데 진짜 맘에듬~~!일단 재질이 넘 맘에들어요몇 번 빨아도 짱짱함
hjm65**|얇아서 시원해여 근데 생각보다 품이 커서 바지에 넣어 입으면 별루 안이뻐요 핏이ㅜㅜ 안넣어 입기에는 길이가 좀 길고..그래도 무난하규 시원해요 얇아서 속옷 비치니까 안에 나시 입고 입어야해용 딴옷이랑 같이 시켰는데 입고지연되서 이거 먼저 따로 배송해주시고 감사욥
dbsk85**|처음에 만질때 두꺼운거 같은데 입어 보는순간 넘 좋았어요~사도 후회 안할듯 다음에는 블랙 살려구요~
msr12**|적당히 비치는게 이뻐요 색상도 화면이랑 동일한거 같구요 얇은 짜임이라 하나도 안더워요 ㅎㅎ 옷 하단 짜임이 뭔가 약한거 같고 짱짱하지 않은것 같은게 쪼금 걸리지만 괜찮아요 ㅋㅋ딱 지금같은 날씨에 짧은 하의에 입기 좋은거 같아요 마음에 듭니당 ㅎㅎ 배송은 느렸지만 ㅜㅜ 잘 입을게요~
fudgml**|포토리뷰 보니까 1등이 다들 기준 탈락했던데 제가 그 자리 해도 되나요 ㅋㅋㅋㅋㅋ생각보다 빠른배송 감사합니다!! 다 괜찮은데 식초냄새인지 옷에서 처음 맡아보는 냄새가 나네요 ㅋㅋㅋ 이것빼면 괜찮아요몸무게는 50~51왔다갔다하는 중이고 몸매는 굴곡없이 배만 좀 나온 마른비만이에요사이즈는 M 시켰는데 딱 괜찮아요 딱 붙는다는게아니라 정사이즈느낌? 제 몸이랑 비슷한 스펙이신분 중에서엉덩이나 뱃살이 비교적 없으시거나 약간 몸에 핏되게 입고 싶으신 분은 S도 괜찮구요지금 당장 애매하지않게 입으시는 분은 M시키시면 될 것 같아요 ㅎㅎㅎ스판끼가 꽤 있어요 완전 쌔까맣게 왔어요 잘시킨것같아요 ㅎㅎ별로 따지면 네개반?반개뺀이유는 냄새랑 A라인이 생각보다 엉덩이쪽에 좀 더 들어간 점? ㅎㅎㅎ 이정도면 여름 내내 잘 입고 다닐 것 같아요
gjdbwls11**|이뿌이뿌요
gjdbwls11**|너무이뻐용
heesunp**|고고싱에서 처음으로 티랑 슬랙스 구입했긔이쁘긔 글씨가 참맘에들극 타시 가슴을후려파는 글씨라능~ 근데 흰색이라서 노래질꺼같긔 내겨땀을 받아들일지..팔접히는곳까지와서 내 두꺼운팔뚝살을 간신히 가려준다긔..ㅎ다행쓰..
yourturn**|안녕하세요^^주문하고 제고가 없다해서 배송 받는데는 조금 많은 시간이 걸리긴 했지만 택배를 뜯어 입어보니 기다린 시간이 아깝지 않을 정도로 옷이 이쁘네요원단도 그리 얇지도 그렇다고 두껍지도 않은 딱 적당할 정도구요 입었을때 핏이 아주 이쁘게 떨어져요목 부분이 살짝 올라오는데 그래서 목선이 날렵해보여요길이감도 좋구요주문 망설이이는 분 있으시면 주저 마세요ㅎㅎ후회 없으실거에요^^재입고 많은 상품은 그럴만한 이유가 다 있네요ㅎ
thgus97**|옷처음볼때되게실망햇엇는데입다보니까괜찮은것같네욤...젤걱정햇던게걸을때앞에울까봐걱정햇는데우네요...ㅠ그리고뒷부분도좀울고...머그래도입다보니까이쁜것같아서우는거감안하고입을게요..원래반품하려고햇는데엄마도괜찮다고이쁘다하고친구들도이쁘다고해서택때버림 ㅋㅋㅋㅋㅋㅋㅋㅋ이쁘게입을게요~♪
itistola**|포토후기 3등!그냥 그래요칠부라서 한여름 입기는 더워요비침 없어서 좋습니다.
heesunp**|걍 온몸이비만인데 허벅지가 진짜 튼실해서 L사면 낑길까봐 XL시켰는데 좀커요ㅜㅜ근데 허벅지는 잘맞음ㅎ..허리가좀많이남고 종아리가ㅜㅜ통이너무커서 두번접었어요 그래도 L시켰으면 허벅지 터졌을듯하네옄ㅋㅋㅋ고고싱 구맨 처음인데 이쁘긴  이뻐요 질도 갠찮은거같고 ♥♥♡적립금주세영 가디건살꺼에욧!!+
osr16**|청스커트 중에 스판들어간건 이번에 첫 구매인데여 진짜 편하구 딱달라붙는 핏도 너무 이쁘구요 그냥 너무 맘에 드네요! 색도 정말 이쁜 중청색이에요~ 배송도 금욜에 입금하고 월욜에 받았을정도로 빨리 왔어여ㅎㅎ 모든 며ᆞㄴ에서 만족스런 구매였슴당ㅎ
nansuebin**|오늘받아서 입어보긴했는데 하이웨스트가 좀많이 끼네요 ㅠㅠ 넉넉하게 m으로 입어두될거같아요 그리고 좀 짧은편인거같아서 입으실때 속바지는꼭입으셔야될듯해요 아랫배나 허벅지 그리고허리에 좀 살있으신분들은 입으실때 껴서 많이 불편하실거같아요 가격치곤 무난하고 괜찮은거같아서 별3개드릴게요
nansuebin**|티 오늘 배송와서 한번입어봤는데요 생각보단 두껍지도않고 데일리로 입을수있는 제품일거같아요~ 옷 새거냄새가 되게많이나서 꼭 세탁하고입으시는게좋으실거같네요 하이웨스트하고 같이주문했는데 자주자주입을거같고 하얀색이라서 받쳐입기되게편할거같아요~~잘입응게요
heejoo07**|배송은 이틀만에 왔어요!! 기대했었는데 생각보다 훨씬크네요 그래도 좋습니당 면도 많이안얇고 목도 별로 안파였어요 저는 박시하게 입는거 좋아해서 괜찮은데 체구가 작거나 키 작은분들한텐 좀 많이 클거같네요 저는 만족스럽습니닿ㅎㅎㅎ
jungsso6**|네이비랑 핑크 주문했었는데 네이비는 품절되었다고 하네용~ 핑크 화면에서 보는 것처럼 여리여리 해요~ 빛 반사 때문에 색상이 잘 안나왔네요ㅜㅜ 슬라브 면이라서 시원하고 편해요~! 여름에는 슬라브 소재가 정말 좋은 것 같아용ㅋㅋ
tndus6**|놀러갈때 테니스치마랑 같이 입을려고 샀는데 생각보다 길이감도 적당하고 두껍지도 않구요 지금은 입을수 있는데 너무 더운초여름이면 입으면 좀더울것 같아여 ㅠㅠ 테니스치마아니면 청치마랑입으면 존예!!!역시 고고싱은 좋은것같아요
ssmm11**|스판도짱이고지퍼도부드러움근데한치수크게사는게이쁠거같아요
heejoo07**|배송은 입금확인되고 이틀만에 빠르게 왔네우근데 바지ㄱ좀 눅눅하다고 해야하나 덜마른거같은 느낌이 나네요 냄새도 심하지만 이건 빨면 될거같아요 색깔도 완전연하고 그렇진 않네요 그래도 나름 핏은 괜찮고 가격대비 괜찮은거 같아요!!!!
seo07**|막 입을라고 샀는데 생각보다 이쁜편이여서 자주 애용하고 있어요
seo07**|집에서 입을려고 샀는데 생각보다 너무 좋아서 옷안에 입기도 하고 나시만 입을때도 있어요 싼편이라 기대안했는데 정말 좋은거 같아요 일반 매장에서 살바엔 고고싱에서 사는게 더 이득일거 같네용 너무 많이 입어서 쫌 늘어나서 하나 더 살까 생각중입니당
seo07**|집에서 입을려고 샀는데 생각보다 너무 좋아서 옷안에 입기도 하고 나시만 입을때도 있어요 싼편이라 기대안했는데 정말 좋은거 같아요 일반 매장에서 살바엔 고고싱에서 사는게 더 이득일거 같네용 너무 많이 입어서 쫌 늘어나서 하나 더 살까 생각중입니당
heejoo07**|치타콤마 반티 아이보리로 샀어요 배송은 입금확인하고 다음날  바로 왔어요!!!배송믄 빨라서 좋았구요 길이도 길지않고 딱 적당하고 너무 얇지두 않은게 가격대비 괜찮은거같아요 흰색이라 좀 비치긴하지만 심하진 않아요~
ansz**|기대하고 기대하던 옷이 오ㅓㅆ어요!!바로 입었더니 재질도 굿!색깔도 굿!착용감도 굿!이에요!!사진과ㅠ다를꺼라고 걱정했는데 다행히도 똑같아요!!너무너무 예뻐요!!여름때 반바지랑 입어도 예쁠것 같아요!저눈 카키색이에요!근데 옷 뒤에 작은 구멍이2개나 있더라구요..반품은 하기 힘들어서요..잘 입을께요!
sunyou**|무난하게 입기 좋은거같아요 ㅎ
sunyou**|S 주문했는데다른데서 S이 커서 반품했었는데사이즈가 딱맞아서 너무좋네요허리에딱맞아서 ㅎㅎ! 다른색도주문해야겟어여
kimha01**|진짜 편하게 입기 딱 좋아요! 가격도 저렴하고~ 너무 좋아요 ㅎㅎ
yejiny**|검은색으로 주문 했는데 면 제질도 좋고 사진컷이랑 실제랑 똑같아서 만족했어요소매랑 전체 기장도 적당하고 바지안에 넣어입으니까 딱 맞는게 예뻐요프린팅된 부분은 세탁을 해봐야 알겟지만 괜찮은 듯 싶어요가격대도 저렴하고 잘 산 것 같네요 구입해도 후회 할 일은 없는 듯 합니다 추천합니당
chaeseon**|배송만 2주 넘게 걸렸네요 ;;;;그래도 티는 기본적으로 입기에 이쁜듯 배송만 아니면 만족했을텐데 조금 아쉽네요 ㅠㅠ
yuna50**|완전 시원햄!!!!다른 무늬도 주문하려구여~작년에도 냉장고바지 주문햇어요~
chaeseon**|생각했던것보다 훨~~씬 더 재질도 쫀쫀하고 좋아요!흰색이라서 많이 부해보이진 않을까 걱정했는데 아이보리라서 색이 부담없네요 ^^가격대비 넘넘 만족입니다~~~
kmkmin**|지금은 없던데 굉장히 맘에 들어요!! 길이랑 색이랑 디자인아랑 다 좋구 아무데나 무난하게 입기에 좋아요 배송이 좀 늦긴 했지만 잘입을게요 많이 파세요!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
yuna50**|편해요~기장두 나쁘지않아서 좋아여~~
kmkmin**|이뻐요! 네이비로 샀는데 여름에 집에서 입기도 좋고 어디 놀러가서 바닷가나 수영장에서 입기도 좋을 거 같아요 너무 짧지도 않고 편하고 시원하구 잘 산거 같아요 가격도 저렴하구ㅎㅎㅎ배송이 좀 늦긴 했지만 잘입을게요~~~~~~~~~~~~~~
yuna50**|사이즈가 좀 큰거같에여~구입하실때 리뷰 확인하세요~전 수선집으로 고고~!!
kmkmin**|흰색 샀는데 진짜 예쁘네요 단추 포인트도 이쁘고 길이도 뭐 요즘처럼 짧게 나오는거에 비해서는 짧은 감이 있으면서도 적당하구요 저는 진짜 맘에 드네요 다른 색도 사면 좋을 거 같았을걸 하는 생각도 들구 배송이 늦긴 했지만 옷이 이뻐서 기분은 좋아요ㅎㅎ
yuna50**|너무 박시해서 옆라인을 줄여 입어야겟어요. . 수선비가 좀 나와여ㅠㅠ
yuna50**|작년에도 구입 올해도 구입햇어요~이쁘게 잘입을께요
kmkmin**|배송이 좀 늦긴 했지만 옷이 재질도 좋고 색도 이쁘더라구요다른 후기에 색이 좀 진하고 탁하다고 해서 걱정했는데 다행히 저한테는 맘에드는 색이었어요ㅎㅎ완전 여름에 입기에는 약간 두꺼운감이 있기는 하지만 티 자체도 이쁘고 치마랑 바지 둘 다 어울려서 코디하기 좋아요!
sjn91**|평소에 바지 29입는데 l했는데 헐..ㅠㅠ 허벅지가 너무 껴요 ㅠㅠㅠㅠㅠ아나 한치수 큰걸로 샀었어야핶나봐요 ㅠㅠㅠㅠ근데 허리랑 엉덩이는 큰데 ㅠㅠㅠㅠ허벅지가 쪼여서 ㅠㅠ스키니같아요 ㅠㅠㅠ헝 ㅠㅠ내가 원하던 핏이 아니야 ㅠㅠ망했어 ㅠㅠㅠㅠㅠㅠ후기보고 샀는데 ㅠㅠ닌 망했어 ㅠㅠ 그래도 배송은 생각보단 그렇게 느리진않았어요...허벅지만 좀 낙낙했으면 좋았을텐ㄷㅔ 반품하기 귀찮아서 그냥 안해요..에휴 과연 이걸 입으까 ㅠ망했어 ㅠㅠㅠㅠ
kmkmin**|이 옷 때문에 배송이 거의 3주정도 늦게 왔는데옷이 이쁘긴 하더라구요사이즈도 적당하구 길이도 적당하구 어디에나 입기 좋은 것 같아요요즘처럼 더워진 날씨에 가볍게 아무때나 입기 딱 좋아요많이 파세요~~~~~~~~~~~~~~~~~
jinlee60**|배송이 2주정도 걸려서 좀 아쉽긴했지만ㅠㅠㅠㅠㅠ 일단 목 부분이 동그래서 맘에들었어요홍길이도 딱 적당했고 같이산 멜빵 바지랑도 잘어울렸고 약간 팔부분이 퍼져서 약간 음 약간 어색하긴 한데 그래도 ,,,뭐 예쁘니까 !고고싱땡큐용
jinlee60**|배송은 2주정도걸렸어요 ㅠ ㅠ 제가 요즘들어 너무 더워서 딱 달라붙는 바지말고 좀 헐렁?그런 바지를 찾다가 고고싱 이바지를 봤는데 넘 이뻐가지고 질렀어요 !!!!!!!!!!!!!!!!!!!!!근데대만족진짜 ㅠㅠㅠㅠ 이거 입고 친구들 만났더니 이쁘다구 그러고 이거진짜 고민되시면 사세용... 키가 160인데 주머니는 허벅지 3분의 1지점 ？ 그정도 오구 약간 커요 ㅋㅋㅋ 한 163부터 입어야 주머니가 정상지점(?)에 올거같아요 홍홍 고고싱 땡큐용!
tlsdbswl02**|티셔츠보고 피팅같이된 바지보고이뻐서 같이삿는데 너무귀엽고 이뻐요 사길잘한거같에요 ㅎㅎ 원래 상품사도 후기안남기는데 찡찡 만족합니당 많이 파세용
ba51**|xxxxxxxxxxx
ba51**|xxxxxxxxx
ba51**|xxxxxxxxx
ba51**|xxxxxxxxx
ba51**|xxxxxxxxxxxxxxxxx
han**|짱짱
han**|하리가조금컷는데색깔도이쁘고빈티지한게완젼이뻐용ㅎㅎㅎ
han**|사이즈는제가몸집이작아서좀컷는데 완전좋아요!
pinocchio09**|정말 헤짐도 진짜이쁘고 색도 진짜 모델이 입은거랑 똑같아요..! 정말너무이뻐요! 그리고 다른 후기들 봤을때 단추부분이 좀 작다고 했는데 전 괜찮았어요! 살짝 불편한감은 있었지만 전체적으로 만족했고 색이랑, 재질 모두 마음에 들었어요~~!
pinocchio09**|이거진짜 너무이뻐요!!! 제가 팔뚝살이 좀 있는편인데 입으면 별로 티도나지않고ㅠㅠ!! 정말짱이에요! 전 밑에 연청반바지 입고 다녔는데 ..친구들도 이쁘다해요~ 정말 구매하시면 후회안할 제품이에요! 재질도 진짜좋아요!!!!
