150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
55937174**|그냥 사진보다는 별루 였지만 그냥 편하게 입을수잇을꺼 같아요! 잘입을께요!! 그리고 생각보다 허벅지가 껴요
55937174**|그냥 데일리룩으로 편하게 입을수가있을꺼 같아요! 그리고 박스티여서 정말로 좋았어요! 두께도 잇고요
aass**|이거 진짜 너무너무이뻐요 ㅜㅠㅠ 바지에 냄새도 전혀 없고 스판이라 늘어나면서 편하기까지해요! 색도 잘빠진 검정이라 날씬해보입니당
hg54**|여성스럽고 싼 가격인데 퀄리티도 좋아요! 초여름까지도 무난하게 입을 수 있을것 같고 예뻐요!!!
dws040**|진짜진짜 예쁩니다 강추에요!! 배송오래걸린다고했는데 많이 오래기다리진않았고 일주일정도 걸린거같아요! 옷정말 후회안하실꺼에요!대만족합니다~~
derr13**|이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요
derr13**|이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요
derr13**|이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요
derr13**|이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요
derr13**|이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요이뻐요
q1**|여름에 입기는 조금 스판도없고 더운 느낌이 있는데 봄가을쯤에 완벽한 바지인것같네요~~~ 그래도 핏이 이뻐서 너무 마음에 들어요~~~
q1**|굉장히 얇은재질이라서 여름에 시원하게 입을 수 있는 장점이 있어요 그래서 좋아요~~이쁘게 잘 입을게요~~
750891648440575**|처음에 옷 온거 보고 큰 거 아닌가 걱정했는게 입어보니 딱 박시하게 입을 정도여서 너무 좋았어요 입은 거 보고 언니가 예쁘다고 화이트 따라 샀어요! 이런 남방 사고싶었는데 잘 산 것 같아서 뿌듯하네요! 평소에 그냥 티 하나입고 위에 걸쳐 입기 좋아서 잘 산거 같습니당! 배송도 빨랐어요.
64539594**|바지길이가 짧지도,길지도 않고 딱 적당해요!제가 살이 쪄서 그런가 조금 조이는 느낌이 들긴하지만 워낙 스판이 있어서 그런가 잘 늘어나고 편해요~!배송고빠르고 이가격에 이바지면 아주 만족합니다!
vnglt12**|제품 받고 깜짝 놀랐네요 얼룩이 너무 심해요 액체류를 엎지르신거 같은데 제품 상태가 너무 불량이라서 놀랐어요 반품할게요
824072874388837**|진짜 존예입니다. 진주단추도 이쁘고 싼티가 안나요. 디테일이 이쁩니다. 허리 끈은 양쪽에 하나씩 달려있어서 앞으로 또는 뒤로 묶으면 될 거 같아요. 그런데 살집 있는 분들은 비추합니다. 마른 편인 사람이 입어야 예쁘게 떨어지는 옷이에요. 근데 이 옷의 치명적인 단점은 바로 부시럭부시럭 소리가 난다는 것... 그냥 바깥 옷이나 안감이 단독으로 움직이면 그런 소리가 안나는데요. 바깥 면이랑 안감이 닿을 때 부시럭 샤샤삭 소리가 납니다. 이거 정말 예쁘고 싶은 중요한 날에 입으려고 했는데 소리가 신경쓰여요. 친구들이랑 놀 때 한번 입어보고 얼마나 신경쓰이는지 시험한다음 입게요! 소리만 빼면 정말 예쁜 옷~ ++옷 뒤에 지퍼 있어요. 티가 안나서 처음에 입을 때 안들어가길래 와 망했다 했어요 ㅋㅋㅋㅋㅋ
824072874388837**|길이는 약간 짧은 편이에요. 저는 긴 티셔츠 안 좋아해서 매우 만족중입니다. 꺼내 입어도 예쁘고 하이웨스트로 입어도 예뻐요. 레터링도 예쁘고요. 무엇보다 질이 좋아요. 그냥 싸구려 면티나 빨면 늘어나는 옷이 아니에요. 두깨감도 있고 탄력?이 있는  옷이에요. 두깨감 참고하시라고 여름 니트랑 비교한 사진도 넣었어요! ++ 슬랙스랑 입으면 진짜 완전 이뻐요~
ytzk1**|이런 니트카라티는처음 입어보는데, 바지에도 치마에도 잘 어울려서 좋아요 ㅎ잘 입을게요 ^^
133144450**|가격이 너무 착해서 좋았어요
824072874388837**|후기 보면 많이 짧고 좀 낀다는 글이 있어요. 근데 다들 키가 저보다 크시더라고요. 저는 159~160인데 그런 느낌 못 받았어요! 그리고 속옷 보일까봐 걱정되시면 속바지 입는 걸 추천드려요. 저는 이런 넓은 통의 짧은 바지를 입을 때면 늘 얇은 속바지 입거든요. 그럼 걱정없어요. 이거 나름 만족하기는 하는데 약간 브이넥이 다른 옷들보다 많이 파여 있어요. 그래서 저는 검은색 나시티 입고 입으려고요. 혹시 모르니까요!
ytzk1**|음...치마자체는 예뻤습니다..안에 속바지도 맘에 드는데 속바지가 너무 짧아서 별도로 속바지 착용이 필요해요 ㅠㅠㅠ
ytzk1**|색깔 깡패입니다 ....흔하지 않은 색깔이여서 더 유니크하구입었을때 얼굴이 더 희게보여요!
824072874388837**|정말 마음에 들어요. 여름 니트는 처음 구매한건데요. 덥지 않을까 걱정했는데 얇아서 오히려 더 시원하고 바람도 잘 통할 거 같아요. 그리고 색이 정말 예쁜 초록색이라 시원해보여요. 청바지이든 치마이든 슬랙스이든 다 잘어울릴 거 같아요. 그리고 하이웨스트로 안해도 예쁜 옷이라 좋은 거 같아요! 잘 입을게요~
ogoyl**|생각보다 기장이 좀 길긴한데 예뻐요 흰색은 때탈까봐 안삿는데 하나 더 사고싶네요! 많이파세요~~
ogoyl**|실물이 더이쁜거 같습니다! 이제 곧 여름이니까 한번 질러봣는데 생각보다 갱장히 이쁩니다~~~ 잘 쓰겟습니다~~ 많이파세요~~~~
ogoyl**|"우와 이바지입고 다리도 찢어진다!!!!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ신기합니다!!! 많이 파세요!!!! 잘입겟습니다~~~|"
gkswldn12**|괜찮긴 한데 조금 당황스러웠던게 앞이랑 뒤랑 길이가 달라요.. 앞은 길고 뒤는 좀 더 짧아요 ㅠㅠ 그래서 뒤에 치마가 올라가 보여서 좀 그래요 ㅠㅠ
gkswldn12**|이거...생각보다 너무 커요 ㅠㅠㅠㅠㅠ 하나 빼고는 저한테는 너무 커서 착용이 힘들것 같아여 ㅠㅠㅠ
aahyun20**|소라색이 품절이라서 핑크색을 샀는데 핑크색도 정말 정말 이뻐요♡♡티를 입고 겉에 남방으로 걸쳐도 이쁘지만단독으로 입어도 정말 이뻐요!!!색깔 진짜 잘 뽑은 것 같아요.
aahyun20**|편하게 입고 다니기 좋을 박시한 핏의 남방인 것 같아요!! 화이트 색상이 넘 맘에 들어서 블랙 색상도 구매하고 싶어지네요. 두께도 여름에 입고 다니기 적당한 두께에요.
aahyun20**|뷔스티에가 9500원밖에 안해서 구매하였는데 정말 만족스러워요♡ 색깔도 예쁜 머스타드색이라서 친구들도 다 예쁘다 해줬어요. 한가지 아쉬운건 리본끈을 뒤로 묶어야하는데 혼자서 묶을때 좀 힘들어요ㅠ
aahyun20**|실제로 입어보니깐 치마가 정말로 핵쫀쫀해요! 치마 길이도 입었을 때 허벅지 중간정도까지 와서 적당한 길이고요! 색깔도 예쁜 연청 색깔이에요. 가만히 있을때는 다리에 달라붙지만 움직일 때는 잘 늘어나서 입고 다니기 편해용 자주 입을 것 같은 치마입니다.
szszszsz**|배송 빨라요 다른 바지는 컸는데 이 옷은 허리나 다리 사이즈는 딱 맞는거 같아요 근데 길이가 복숭아뼈 위정도 오는줄 알았는데 너무 짧네요
szszszsz**|생각했던 그대로에요 까슬한 재질인데 막상 입으면 그렇지도 않고 여성스러워 보여요 배송도 빠르고 좋아요
szszszsz**|일단 배송 엄청 빠르네요 옷이 생각보다 조금 두툼하긴 한데 맘에 듭니다 색도 화면 그대로에요
szszszsz**|첨에 봤을 때 옷이 너무 작아보였는데 스판 장난 아니에요 배송도 빠르고 옷도 편하고 맘에 듭니다
szszszsz**|배송도 빠르고 옷도 화면 그대로네요 여기서 다른 바지랑 치마 샀던건 다 사이즈가 컸는데 이건 딱 맞는거 같아요
chebin72**|굉장히 흔한 말그대로 유니크한 양말이죠ㅋㅋ 깔별로 다 소장했었는데 네이비를 너무 많이 신어서 많이 줄어들어서 하나 더 구매했습니닷! 역시 사길 잘했네요ㅋㅋ
chebin72**|싼맛에 사서 별 기대안했는데 받아보니 실물 겁나취적..♡ 파란색은 왠지 실패할듯한 예감이 들어서 블랙으로 구매했는데 진짜 가성비 최곱니다
heejini**|벨트가 필요해서 하나 주문했는데가장 기본적이고 무난한 벨트 입니다그냥 가격대비 쓸만 할 거 같아요
heejini**|제일 기본적인 양말이고 무난무난해용 양말이 다 똑같죠 뭐 ㅎㅎ샌들 신기 전까지 잘 신을 수 있을 거 같아요
chebin72**|받자마자 색깔이 너무 달라서 놀랐던..ㅋㅋ 살짝 누리끼리? 하다해야되나 그래서 좀 놀랐어욬ㅋ 근데..입어보니 세상에 스판오져서 엄청 편하고 쫙잡아줘서 다리가 뚱뚱해보이진 않아요. 다만 기장이 좀 짧은감이 있습니당 글고 색이 많이 빈티지스러우니 참고해주세욥
jy03**|보자마자 꽂혀서 샀어요ㅋㅋㅋㅋ 민트랑 바이올렛도 사고싶은데 혹시 모르니까 일단 기본 블랙만 사봤어요! 근데 민트랑 바이올렛도 사도 될것같아요 질도 생각보다 괜찮고 길이랑 품이랑 다 만족해요ㅎㅎ 잘입을게용
apple35**|아이보리 샀는데 소매가 특히 이쁘네용ㅋㅋ 바지나 치마 모두 잘 어울리는 셔츠입니당~^^ 잘 산거같아용
chebin72**|넘 귀여운 하트 디자인에 반해서 구매를 했는데요 역시..넘 이쁩니다♡ 살짝 긴감이 있어서 바지안에 넣어입으면 진짜 너무 좋아요ㅎ
apple35**|아이보리 샀는데 너무 이쁘네용ㅋㅋㅋ 잘산듯해요!! 입었을 때가 더욱 이쁜 원피스입니다~^^
jy03**|똑같은거 M으로 했다가 너무 작아서 반품하고 L로 재구매했어요 교환은 오래걸릴 거 같아서ㅋㅋㅋㅋ 진작에 L로 살걸 그랬어요 편하게 잘맞아요ㅠㅜ 허리가 쫌 크지만 그건 벨트하면 되니까ㅎㅎ 근데 밑에 통이 넓어서 속바지를 꼭 입어야할 것 같아요!
jy03**|첫 포토리뷰예요! 요새 연청+약간통넓은바지+찢청 요 조합에 꽂혔는데 무릎디스바지가 이 세가지를 모두 충족시켜주길래 구매했어요ㅋㅋㅋ 평소 사이즈대로 M했는데 진짜 편하게 잘맞아요!! 조이거나 헐렁한 부분도 없고 진짜 편해서 손 자주 갈 거 같아요 잘입을게요!
jy03**|포토후기 일등입니다! 신상으로 올라온거 보자마자 꽂혀서 샀어요ㅋㅋㅋ 평소에 고고싱바지는 S나 M입는데 이건 상세사이즈 보니까 좀 작게 나온거같더라구요 그래도 스판 좋으니까 M할까 그냥 L할까 계~~속 고민하다가 L로 했어요 M했어도 입을 수는 있었을 것 같은데 그러면 찢어진 틈 사이로 살 삐져나왔을듯ㅋㅋㅋㅋㅋ 저처럼 애매하게 요바지 M-L 걸쳐진 사이즈 입으시는 분들은 L해도 무방할 것 같아요 쫀쫀해서 다리에 착 달라붙거든요! 그리고 반하이라 많ㅇㅣ 올라와서 편하고 찢어진 것도 과하지 않아요!! 솔직히 좀 민망해보이면 어쩌나 고민 많이했는데 전혀 그렇지 않고 적당히 포인트 줘서 이뻐요 여행가서 이쁘게 입을게요ㅎㅎ
cjyeon**|생각보다 면이 두툼하고 길어서 진짜 놀랐어요 잘하면 초겨울에두 입을 수 있을 것 같아용ㅇ 그리구 너무 예쁩니다ㅠㅜㅠ역시 고고싱!♥ 사랑합니다♥
cjyeon**|생각보다 셔츠가 조금 크네욤 못 입을 정도는 아닌데 조금 커용ㅠ 그리고 옷에 뭐가 묻은 채로 와서ㅠㅠ 속상하네요ㅠ 그래도 옷은 예쁩니다!! 잘 입을게용!
cjyeon**|으허어어엉 왜 하필 제가 사고난 다음에 세일을 하는건지 모르겠지만 진짜 예뻐요ㅠㅠㅠ 블랙으로 샀는데 꼭 이너랑 같이 입으셔야해요. 안 그럼 많이 비치더라구용ㅇ그래도 15000원에 이정도 퀄리티면 너무너무 좋은 거 같아요!♥
cjyeon**|ㅜㅜㅠㅜ생각보다 조금 커요ㅠ 그리고 바지에서 공장(?)냄새라고 해야하나? 그게 좀 많이 심해요ㅜㅜ 바지통이 좀 커서 놀랐고 허리도 살짝 크네요. 그래도 만족합니다!♥
cjyeon**|고고싱에서 치마는 처음 사보는거라 걱정 많이 했는데 생각보다 너무 괜찮았어요ㅜㅜㅜㅜ진짜 너무 예뻤습니다ㅜㅠ근데 생각보다 면이 까끌까끌해서 놀랐어요. 못 입을 정도는 아닌데 피부 예민하신 분들은 주의하셔야 될 거같네요ㅠ
cjyeon**|와 진짜 너무 예뻐요ㅠㅠㅠ 사이즈도 딱 맞고 하이웨스트라 너무 좋은 거 같아요ㅠㅠ 근데 살짝 짧은 감이 없지않아 있어서 혹시 불편하시거나 신경 쓰이시는 분들은 속바지랑 같이 입는 걸 추천드려요!
hs22**|통 큰 바지처럼 입고싶어서 한 사이즈 크게 시켰습니다. 확실히 벨트를 하지 않으면 내려가더라구요. 그래도 벨트의 불편함을 감수할만큼 예쁩니다!
hs22**|옷은 예쁜데 너무 얇아요...ㅠ 그래도 잔체적인 색감은 예뻐요!!!
776042603**|하 이거슨 시키자마자 품절돼브린 물결나시잖아? 블랙만 품절 안돼서 급하게 호딱호딱 시켰는데 문자로 품절이래서 눈물 세방울 흘렸지만 예뻐서 봐드립니다? 기다린만큼 예쁘고 싸고 최고고 다했네요 으훙헹 ㅜ 여름에 이것만 입을거야
776042603**|치마 짧다는 글 많이 봤으면서도 키도 큰 편이 아니고 원래 짧게 입는걸 좋아해서 신경안쓰곷주문했는데 짧네요.. 그렇게 짧은건 아니궁..! 상의가 많이 짧고 어깨끈이 길어요 ㅜㅜ 그건 수선하면 되니까..!! 맘에듭니당
776042603**|너무최고 너무최고 세상 이렇게 편하고 예쁜바지 첨보넹요 ㅜ  ㅜ 위에 글레짝 걸쳐도 전신서진 찍으면 기냥 인생샷 쵝오입니다흑흑흥긓ㄱ
thdud29**|얇아서 비와서 쌀쌀할때나 일교차 클때 챙겨나가기 좋아요 알바 갈때 편하게 입고있어요 색도 밝은 회색? 이라서 마음에 듭니다!
thdud29**|화이트 구매했는데 굉장히 잘 입고 있습니다! 얇고 옷감이 바짝 서는 그런 느낌이 아니라서 좋아요 근데 몇번 세탁하니까 좀 늘어나는 느낌은 있어요 ㅠ 이것만 빼면 만족스럽습니다
thdud29**|단추가 좀 많이 아쉬웠습니다ㅠ뭔가 색바렌 헌옷수거함에서 떼온 느낌이랄까.... 이름 답게 굉장히 빈티지스러웠어요 아 그리고 색이랑 질감?도 제가 화면으로 보고 상상했던거랑 좀 달라서 당황했어요...
thdud29**|깔끔하고 단정해요! 좀 비치기도 하고 핏이 약간 어벙??하다고 해야하나 그렇긴한데 검정치마에 넣어입으면 약간 되게 깔끔해서 깔끔하고 단정하게 입어야할때 입기좋을거같아요!
hesoo**|옷 이쁘고 좋아요!!!약간 스판이 있으면 더 좋았을 것 같아요색도 너무 이쁘고 디자인도 너무 좋아요 자주 압을 것 같습니다ㅎ
sonhome55**|색이랑 프린팅이 너무 이쁜ㄴ데 아쉬운 건 가슴 부분이 좀 작다해야하나 그래서 조금 아쉬운데 그래도 이쁘게 잘 입고 있습니다 !!
sonhome55**|음 보자 마자 이뻐서 샀는데 산 거 후회 안할 정도로 이쁘고 잘 산 것 같아요 ㅎㅎㅎ 원피스는 여기서 처음 구매 해보는데 너무 잘 산 것 같아서 좋습ㅁ니당
ji05eun**|옷이 너무 예뻐서 주변에서 어디서 샀냐 나도 좌표 찍어줘라 난리네요ㅠㅠ 사길 잘 한 원피스!!
ji05eun**|진짜 옷이 너무 예뻐요ㅠㅠ 생각보단 핏이 더 넉넉하긴 했는데 그래도 원피스랑 입으면 딱 너무 잘 어울려요 다른 색으로 더 사고 싶네요ㅠㅠ
ji05eun**|검은색 흰색 샀는데 둘 다 무난하고 예쁘게 신을 수 있는 것 같아요 막 사도 평타 치니까ㅠㅠ 옷에 다 잘어울리고 양말 재질도 좋네요
dkxh12**|산뜻하니 하얀색 꽃무늬 사고싶었는데 괜찮고 예뻐요 다만 어깨부분이 작아서 어깨 좀 만넓어도 이상해요
moki**|엉덩이가 끼여서 반품했습니당 ㅠㅠㅠㅠ옷은 너무 이쁜데 아쉬워요.... 이런 꽃 패턴으로 엉덩이 폭이 좀 넓은거로 나왓으면 좋겟어요 ㅠㅠㅠ
