150063834**|키가 작은데도 길이가 조금 짧긴 하지만 안에 검은 반바지 입고 입으면 딱 이쁠것같아요 !!!! 이 가격에 이쁜 옷 살 수 있어서 넘무 좋습니다 ㅠ.ㅠ 고고싱 자주 올게욥 ♥️♥️
teletobi**|사진이랑 색상은 똑같아요! 모델이 입은 사진보고 꽂혀서 구매했는데, 사진에서도 보이다 싶이 나시가 많이 파져 있어서 그 부분은 감안해야 할 거 같아요! 신경써서 올려줘야하지만, 옷 자체는 굉장히 맘에 듭니다! 가디건은 팔부분이 딱 붙기는 해요
cy0207**|레터링도 맘에들구 노랑색이 환해서 예버용 ㅍㅠㅠㅠㅠㅠㅠㅠ근데 팔길이가 원래 긴거같긴한데 접어주는게 더 이쁜거같아용 지금 이 날씨에 입기 적당한거같구 자주자주 입을거같아요!!
3806443**|발목을 진짜 쫀쫀하게 잡아줘요색은 사진보다 연하지만 정말 시원해보이구인생 스키니진입니다ㅠㅠ
cy0207**|간단하게 반팔입고 이 목걸이만 해도 넘 예쁘구요ㅠㅠㅜㅜ 목걸이 하나하나 따로 착용이 가능하니깐 활용도도 높고 이가격에 이 퀄리티라니..너무 만족해요!!!!!♡♡♡이정도 가격에 3개파는곳은 진심 여기밖에 없습니다 혹시 고민하신다면 고민하지 마시고 어서 사세용
cacao**|옷진짜이브네여. 두께가좀 있고 완전한여름엔 못입을거같아요 색상도 어두워서 근데 진짜 분위기갑.... 존예. 이가격에 이옷이라니 쫄어욬ㅋㅋㅋㅋ 글구저는 리본떼고입움... 없운게 더 분위기있어보이고 고급시려보임
sieunc**|진짜 색깔이 예뻐요! 손목에 트임이있어서 뭔가 더 예쁜것같아요다 잠궈서 입기엔 뭔가 브이넥이 좀 파여있긴한데 잘 신경쓰고다니면 별 문제없을 것 같아요 추천해요
sieunc**|앞 뒤 트임?있는거 확인하세욥! 이뻐요ㅎㅎ걸쳐도 예쁘고 그냥 다 잠가서 입어도 괜찮아요! 추천합니당
hywo**|이거 저한테는 발목정도 와요 조금길어서수선해서 입으려구요 163이상인분들은 딱 예쁘고 좋을것같아요
sieunc**|예뻐욥!!! 재질이 그 부드러운 뭔가 실카한 그런 블라우스 재질은 아니에욥겨울엔 못입을것같고, 봄 가을 초여름까진 입을수있을것같아요! 이쁘네용
hywo**|오오 이거이뻐요 저는 입고서 위에 가디건입어주고입었네요아직단독으로는 쌀쌀해서 여름되면 물론 단독으로 입을것같고일단 너무편해옇ㅎㅎ
hywo**|생각보다 예뻐서 다른 색상두 사고 싶어요청바지나 치마에 하나만 입어두 이쁘고 뭔가 꾸미지않았는데포인트되고 좋아요ㅎ
hywo**|니트예쁘고 좋은데 생각보다 커서 반바지나치마에 넣어입는게 좋을것같아요 그래두 시원해보이고해변갈때나 이럴때 입으면 딱좋을것같아용
rhdudrud**|진짜 이쁜거 같아여!!색깔도 이쁘고 되게 여리여리해 보여서 좋아요!!잘 입고다닐거 같아요!!!
52702288**|신발 편하고 색도 예뻐요 밝은 색의 구두를 찾는게 아니라 조금 어듀운 색찾고있어서 더 예ㅓㅂ요 베이지색보다 이런 핑크있는게 더 이쁜거 같네요
