hhhh7**|ㅇㅀ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)ㄹ
min57**|예뻐요~- 키, 몸무게 161-착용사이즈-착용후느낌은?(좋은점/나쁜점)가격이 저렴한데도 불구하고 옷감이 너무나도 튼튼해요!그리고 겨울에 딱 맞는 두툼함을 지니고 있어서 입으면 포근함이 느껴집니당!줄무늬라 그런지 어디나 다잘어울리고편하게 입을수 있어서 정말 좋은거같아요이런옷많이싸게살수 있게해줘서 감사합니다용
snrnsl**|진청- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)색깔 연청진청 고민하다진청삿어요ㅎ역시고고싱 옷이너무이뻐요♥근데약간 컷어요ㅠㅠ그래도 단추가아니라 똑딱이?같은거여서 편하게입고잇어요강추합니다
snrnsl**|후기♥- 키, 몸무게160. 48-착용사이즈-착용후느낌은?(좋은점/나쁜점)이뻐요!편하게출퇴근할때 입으려고 주문햇는데 이뻐요근데 생각보다 쪼금 얇앗어요ㅠㅠ그리고 위아래가 조금짧아요저만그런가 모르겟는데 자꾸올라가요ㅠ그래도이뻐요ㅎㅎ
min57**|예뻐요- 키, 몸무게 161-착용사이즈-착용후느낌은?(좋은점/나쁜점)그럴거 같았지만 박시한 스타일은 아니고 그냥 딱맞네요이런남방 하나 필요했는데 싼가격에 사서 좋네여 ~ ㅎ살을 빼고 입어야할것같아요통통한 사람보다는 좀 마른 사람이 입어야 예쁠것같아요그래도 맘에는 들어요 이런무늬 예뻐서 ㅎㅎㅎㅎㅎ감사합니다
ryoo11**|가격대비 짱짱! !- 키, 몸무게155-착용사이즈-착용후느낌은?(좋은점/나쁜점)50프로세일할때샀어용 너무좋아여~! 사진과 실물이같아욤ㅎㅎ 두껍진않아요~
ryoo11**|화이트 후기- 키, 몸무게155-착용사이즈-착용후느낌은?(좋은점/나쁜점)흰색이에요~깔끔하니 예쁘네용 사진과같아 좋네여
ryoo11**|와인색 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)사진과 같아요~왜1위인지알겠네요ㅎㅎ 검은색옷에 잘어울리고 좋아여
ryoo11**|블랙- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)사진과같습니다ㅎㅎㅎ 다만 금속부분이 생각보다 밝은 금색이네요...약간부담스럽지만::: 착용해보니 더예뻐요세가지용도로쓰일수있어서 좋아요~!
bjh15**|챠콜 25후기- 키, 몸무게160/43-착용사이즈25-착용후느낌은?(좋은점/나쁜점)신축성도 좋고 감도 부들부들하니 좋아요!!! 발목까지 딱 잡아줘서 좋은것같네용기모는 생각보다 많이 없으니 너무 기대하면실망할듯ㅠㅠㅠ
ryoo11**|아이보리- 키, 몸무게 155-착용사이즈-착용후느낌은?(좋은점/나쁜점)상품은 사진과 같네요~! 색상도같구요ㅎㅎ 길이는 보기보다길어용
wellmil**|차콜 후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)딱 제가 찾던 상품이네요!!!요즘 이너로 입을 것들을 찾고 있었는데, 니트를 여러개 주문 했지만그래도 니트라 두께감이 있었는데, 이 상품은 그정도는 아니구티셔츠처럼 얇을 수도 있지만, 겉보기에 면 재질이 아니어서 추워보이지는 않네요~근데, 날이 점점 추워지면 이거 하나로는 안될꺼 같아요ㅠㅠ가격도 저렴하고 날 더 추워지기 전에 얼른 다른색상도 주문해야 겠어요!근데, 화이트나 아이보리 이런 밝은색이 있었으면 더 좋겠는데,아쉬워요ㅠㅠ
wellmil**|네이비 구매- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)기본으로 입고 싶어서 네이비 색상 주문했어요~비슷한 니트 다른색상 있는데, 이건 그것보다 두께감이 얇아서 이너로 입기 좋아요!!근데, 3합이라고 하지만 니트다 보니 찬바람이 통과되긴 해요~안에 나시나 티셔츠 입고 입으면 끄떡 없어요 ㅋㅋㅋㅋ소매며 총 기장이 긴편은 아니니 참고 하시면 좋겠어요^^
wellmil**|챠콜 후기~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)무난하게 챠콜 색상으로 주문했는데, 생각 보다 너무너무 괜찮네요!!길이도 두께도 사이즈도 적당해요~~아이보리 색은 비침이 걱정되서 주문 안했는데, 재구매 해야겠어요^^이번에 니트 엄청 많이 주문했는데, 아리아니트가 제일 좋아요!!고민말고 고고 해요~~~
gmlwn28**|베이지 코트 이뻐요~- 키, 몸무게153, 통통-착용사이즈S,베이지-착용후느낌은?(좋은점/나쁜점)오자마자 입어 봤는데 진짜 코트가 너무 이뻐요베이지로 샀는데 생각했던 것 보다 많이 좀 어두운 색상이예요길이는 적당해요 음...키가 작은 편인데 딱 보기 좋은 길이?ㅋㅋㅋㅋ엉덩이 가리는 정도?의 길이예요소매는 ...제가 팔이 많이 짧은지.. 많이 길었어Г빱빱그래도 이쁘고 귀여운 느낌의 코트 인것 같아요~저렴한 가격에 좋은 코트 사서 기분 완전 좋아Г빱빱빱빱
jison**|단정하고 예뻐요- 키, 몸무게 153-착용사이즈 free-착용후느낌은?(좋은점/나쁜점)회색사고싶었는데 품절되서 베이지 구분했어요.입어보니 생각보다 단정하면서 여성스러워서 무척 마음에 들어요.베이지색이..음..어떻게 보면 인민군색같기도하고..여리여리한 색 같기도하고..그래도 예쁘니까요 뭐ㅎㅎ다만 어깨선이 좀 애매해요. 저에겐 아주 살짝 내려오는 정도라 예쁜데마르신 분들에게는 좀 어벙한 핏이 되실 수도 있을것같아요.흘러내리는 재질이 아니라 남방재질이라.아무튼 저는 굉장히 만족합니다~
smilegirl2**|굳굳~- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점) 크기가 딱 좋네용ㅎㅎ
alrud02**|후기요..ㅜ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)오래오래 기다린 끝에 드디어 옷을 받았습니다!옷은 나름 괜찮더라구요ㅎ그런데요..ㅜㅜ주머니에 구멍이나있어요...오래 기다려서 드디어 받았는데 구멍이라니....ㅠ그렇다고 다시교환하기엔 번거로워서 그냥 세탁소에 맡길려구요ㅠㅠ..옷은 구멍만 아니면 괜찮아요...
pmz**|배송ㅠㅠ좋아요ㅎ- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)10/27일에 주문했는데 오늘받았어요ㅠㅠ배송이 너무느렸어요.받아보니 너무 맘에 들어요 길이도 적당하고팔길이도 딱맞아요 겨울철에도 입을수있을거같구요근데 이번에는 사은품을 안챙겨 주셨네요ㅠㅠ다음에는 꼭챙겨주세요ㅎ착용사진 파일첨부용량은 2M이하로 제한됩니다)
l3031**|오트밀후기- 키, 몸무게160 48-착용사이즈-착용후느낌은?(좋은점/나쁜점)입자마자 너무 따가워서 어떻게 입고다니나 싶어요ㅠㅠ화면이랑 똑같긴한데 너무 까칠까칠하다는....그래도 잘입고 다니도록 노력하려구여ㅕ
l3031**|화이트후기- 키, 몸무게160 48-착용사이즈얇아서 하나만입기에는 비쳐서 안에 흰색나시 입었어요생각했던것보다 이뻐서 만족해용 앞에 트임도 포인트되고이너로 추천!-착용후느낌은?(좋은점/나쁜점)
wjddms123**|회색후기- 키, 몸무게168 60-착용사이즈free-착용후느낌은?(좋은점/나쁜점)50%할 때 샀는데 이 가격에 이만한 제품을 찾을 수 없을 것 같네요. 근데 제가 다른사람과 비교하여 팔이 좀 길어서 그런지 소매가 조금 짧네요.그냥 내려도 짧은데 과감히ㅋㅋ 소매를 접어서 입고 다닐려구요ㅋㅋ소매를 접는 것이 훨씬 더 예쁩니다. 잘 입겠습니다.
sts47**|짱짱이에요- 키, 몸무게 155-착용사이즈-착용후느낌은?(좋은점/나쁜점) 완전 좋아용 아무옷에나 입기편하고 짱짱
nku**|길이..조심하세요 ㅠㅠ- 키, 몸무게160-착용사이즈-착용후느낌은?(좋은점/나쁜점)키가 별로큰편이 아니라서 치마길이 걱정은 안했는데디자인은 괜찮은데 길이가 너무 짧아요 ㅠㅠ키크신분들은 못입을것같아요
nku**|되게 도톰해요!- 키, 몸무게165-착용사이즈M-착용후느낌은?(좋은점/나쁜점)길이가 안짧아서 좋았어요겨울용 치마라그런지 도톰하고 따뜻해요!아무때나 입어도 좋을것같아요
yaroh**|레드짱- 키160, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)색도이쁘고얇지도않고가격도좋고마음같아서색깔별로다사고싶은옷 강추!!!
nku**|굳굳!!- 키, 몸무게165-착용사이즈플프리프-착용후느낌은?(좋은점/나쁜점)부드럽고 좋아요! 핏이 딱들어맞아서 날씬해보이구요~딱 깔끔하게 입을 수 있어요^0^스키니 치마 뭐 다어울리고 좋습니다!
nku**|생각보다 괜찮아요!- 키, 몸무게165-착용사이즈플프리프-착용후느낌은?(좋은점/나쁜점)가격이 싸서 걱정했었는데 얇긴한데 부드럽고 딱맞게 떨어져서 날씬해보여요!딱 깔끔하고 좋아요~자주입을수 있을듯요
amoreb**|나쁘지 않아요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)155/45되게 할인 했을때 샀는데 가격대비 나쁘지 않아요!!!
suje**|쫀쫀해요- 키, 몸무게 159 44-착용사이즈-착용후느낌은?(좋은점/나쁜점)니트 안에 입을라고 삿는데 정말 좋은거같아요 너무 두꺼우면 니트입을때 부해보일수있는데이건 그런것도없고 안에 입엇을 때 따萬 ^^00
sun14**|슈가니트 연네이비!!- 키, 몸무게168 59후반-착용사이즈-착용후느낌은?(좋은점/나쁜점)보들보들하규 촉감이 좋아요 ㅎㅎ 통통한 편인데도 넉넉하네여!! 팔 길이두 딱 맞구여 ~~얇긴하지만 이너로 입기엔 적당한것 같아여~~ 연네이비 색으로 삿는데 다른 색도 갖구 싶어요~ 세일 할때 또 살려구영 ㅎㅎ 원가로 주기에는 조금 아까울거 같아요ㅜㅜ
nku**|예뻐용!- 키, 몸무게165-착용사이즈플프리프-착용후느낌은?(좋은점/나쁜점)색깔 완전 여리여리해보이고 좋아요!핏도 넉넉해서 입기도 좋구요 ㅎㅎ 이번에 주문한것들중에 제일 괜찮아요!편하고예뻐용
suje**|너무 사랑ㅇ스러워요 ㅠㅠ- 키, 몸무게 159 44-착용사이즈-착용후느낌은?(좋은점/나쁜점)진짜 너무 예쁘고 입으면 사랑스럽다느 ㄴ느낌이 G !!!!!!!!!ㅠㅠ 진짜 어마무시한 옷인거같아요ㅠㅠㅠㅠ진짜 강력 추천 ㅠㅠㅠㅠ정말 예뻐요 분홍색 !
chzhduw**|포토후기1등 (160/43)- 키, 몸무게 160 43-착용사이즈 25-착용후느낌은?(좋은점/나쁜점)커요 커!! 다리 짱두꺼워보여요..따뜻하긴 한데 그래도 좀 두꺼워보이긴하네요..ㅜㅜ그리고 살짝 널럴해요..ㅜㅜ그래도이왕 산거 잘입을게욥
chzhduw**|포토후기1등 (그린)- 키, 몸무게 161 42-착용사이즈-착용후느낌은?(좋은점/나쁜점)착용샷 보니까 되게 예쁘게 핏되서 괜찮다하고 기대하면서 샀는데엄청 펑퍼짐하네요..ㅜㅜ너무 기대 이하니까..ㅜㅜ실망..대충 자켓에 가리고 잘 입어봐야져 뭐!!
sun14**|치마 바지 후기요~~~- 키, 몸무게168 50후반-착용사이즈M-착용후느낌은?(좋은점/나쁜점)단추를 굳이 풀지 않아도 고무줄이 뒤에 있어서 신축성이 아주 좋아요!!!! 정말 편하고 치마 바지 인것도 하나도 티가 안나요 ㅋㅋㅋ 이렇게 독특한 치마 가지고 싶었는데 정말 마족합니다 사이즈가 넉넉히 나와서 원래 바지28-9입는데 미듐 입어도 맞았어요!!! 추천합니당 ㅎㅎ
chzhduw**|포토후기3등 (베이지)- 키, 몸무게 160 44-착용사이즈-착용후느낌은?(좋은점/나쁜점)정전기 퐝!! 근데 색깔도 예쁘고 완전 따뜻해요!!!목도 잘 감싸줘서 따뜻한 느낌이 확확 오구요 완전 맘에 듭니다소매도 잘 잡아주고 ㅎㅎ 근데 생각보다 길이가 길어요!ㅎㅎ그래도 잘 입겠습니다 짱짱
kkkso00**|이쁘고 진짜 두꺼워요!- 키, 몸무게 162-착용사이즈-착용후느낌은?(좋은점/나쁜점)두께는 많이 두꺼운편이고 보온성 좋아요!제키를 기준으로 길이도 딱 좋은 길이감이였구요.디자인도 맘에 들구요!후기보니까 대부분 까끌하다고 하시는데 저는 잘 모르겠어요 제 피부가 딱딱해서 그런가ㅋㅋㅋㅋ그런데 다만 주머니가 좀..ㅠㅠ주머니가 어딘가 불편한 느낌...?주머니말고는 전 전체적으로 만족스러웠어요!!+)그런데 마지막 단추가 거의 떨어질정도로 풀려서 왔어요ㅠㅠ이거 보상받을수있나요ㅋㅋㅠㅠㅠ
dlsrks**|후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)그레이로 샀구요 후기에 냄새난다는데 전 하나도 못느꼈어요;; 크기도 맘에 들고 재질도 맘에 들어요크기는 옆에 뷰러랑 비교해서 보세욬ㅋㅋㅋㅋ 가격대비 맘에 들어요!
ksj71**|포토후기2등입니다- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)44입는데이건뭐44도 아닌듯..너무작아요 ㅋㅋㅋㅋㅋ안에입으려샀는데니트라기보다 쫄티에 가까운..몸매가 부각이 엄청 부담 ㅜㅜㅋㅋㅋ그래도 싸니까 이쁘게입을게요~~포토후기2등적립금주세용
dlsrks**|후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)무난하게 검은색살까 와인색살까 고민하다가 와인색으로 샀어요크기는 저 옆에있는 뷰러랑 비교해서 보시면 될것같아욬ㅋㅋㅋㅋ 만원치고 괜찮아서 다음에 다른색상으로도 사고싶어요색은 사진이랑 약간 다르니까 참고하세요
kkssj03**|포토후기1등!- 키, 몸무게163/50kg후반-착용사이즈m-착용후느낌은?(좋은점/나쁜점)지마켓에서 수박색 맨투맨살라고 장바구니에 담아놨는데고고싱에서 똑같은거 천원차이 밖에 안나길래 치마도 살겸 같이샀어용ㅎ소매 밴딩 완전 짱짱하고 색깔은 모델 피팅컷 보다 살짝 어두워요옷이 두툼하진 않은데 안감 기모라서 따뜻하고 좋아요ㅎㅎ근데 어깨부분이 각져있어가지고 안그래도 넓은 어깨가 더 넓어보이네요..ㅠㅠㅜ옷은 딱 기대만큼이뻐요ㅎ많이 파세용
ksj71**|포토후기3등 입니다- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)다른색 다품절이고 민트만 남아서민트샀어요근데 색깔이 기대했던것보다이쁘네요 ㅋㅋ막 환한 민트아니라 만족해요사진들은 후기나 올라와잇는거봐도밝은민트인데 안밝아요 ㅎ팔이 짧네요후회안해요 사세여포토후기3등적립금주세요^.^
dlsrks**|후기- 키, 몸무게 160-착용사이즈-착용후느낌은?(좋은점/나쁜점)생각보다 얇았지만 후기보고 미리 얇은거 안상태로 샀구요가벼워요! 목요일에 입금해서 월요일에 받을 줄 알았는데 토요일에 왔어요! 추워지기전까지는 입을만한거같아요
ksj71**|포토후기 ♡- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점검정샀는데진짜이뻐요팔이짧은데 다른옷들은 긴데이건 팔이 저한테도 짧아요 ㅋㅋ여름용 남방은 아니라서 좋아요이가격에 어디가서 못사여 득템함ㅎㅎㅎ후회안해여~
ksj71**|포토후기2등입니다- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점아이보리샀어요포토후기2등이예요 ㅎㅎㅎㅎㅎ 이등분이 포토안올리셔서^^넉넉한니트는아니에요 딱붙어요질좋구요 가을,겨울 다 이용할수 있을거같아요다른색은 품절인데아이보리는 왜품절아닌지모르겟네요후회안해요 사세여~~~
lrdmlca**|25일만에 받앗네요 남색- 키, 몸무게 161 56-착용사이즈 프리 남색-착용후느낌은?(좋은점/나쁜점)딱 입어보기 전에 작지 않을까 싶엇는데 막상 입어보니딱맞네요 ㅋㅋ 소매는 약간 짧은듯해요한달전에 입었으면 딱 ,을텐데 지금은 좀 추워져서입기 애매해요 ㅠㅠ 이렇게 얇을줄 몰랐어요그리고 역시 싼 코트라 그런지 원단이 약간 싸보이는 감이 있어요뭐싼가격에다 할인까지 엄청 받앗으니 이정도면 만족해요 ㅋㅋ핏도 괜찮아요 다만 원단이랑 두께가~~
ksj71**|포토후기- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)세일할때 싸게주고 사서 좋네여근데 냄새가 너무심해요페브리즈쀼렸는데도 안빠지네요ㅋㅋㅋ봄오면 입으려 샀어요팔은 크지만 접어입으명돼여이뿝니다
dbwldud75**|후기!!- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)일단 가볍고 부드럽고 퀄리티도 좋고 품도 넓어서 옷두껍게입어도 될거같아요 데일리용으로 이쁜거같아요!!
amoreb**|나쁘진 않아요- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)155,45많이 크지도 않고 나쁘지도 않아요 되게 저렴하게 사서 가격대비는 만족 그런데 솜이 고루있진 않아요
dbwldud75**|후기!- 키, 몸무게-착용사이즈-착용후느낌은?(좋은점/나쁜점)155/5?재질 좋아요 근데 너무 추울땐 못입고 초겨울까지 입을수 있을것같고!너무 이뻐요~~~길이도 키작은데 적당하고 다이뻐요~!!
sein45**|꼬깔콘 스커트 블랙 s 후기- 키, 몸무게-착용사이즈 블랙 s-착용후느낌은?(좋은점/나쁜점)기본 치마로 길이도 적당히 짧아요!제가 딱 원하던 모양이랑 주름이여서 만족스럽네요그런데 처음에 냄새가 아주 심하게 나요ㅠㅠ세탁할 때도 노란물이 나오니까 받는 즉시 따로 세탁하세요!잘 받았습니다예쁘게 입을께요
dbduswls**|키 173녀 더하기 모직코트 베이지 후기!- 키, 몸무게 173 비밀-착용사이즈 M-착용후느낌은?(좋은점/나쁜점)인터넷으로 사이즈를 재봤을때 너무 딱맞아서 걱정했어요받아서는 소매를 접지 않으면 크기도 적당하더라구요소매가 짧아서 접지는 못하지만 박시하고 좋았습니당단점은 구김이 조금 많았구요ㅠㅠ박스에 있을때 봉지랑 물건이 분리되어있었다는거??그것빼고는 색깔도 예쁘고 좋았어요~
dmsdl8**|포토후기 1등? 2등?- 키, 몸무게160-착용사이즈-착용후느낌은?(좋은점/나쁜점)길이가 조금 짧은감이 있긴한데...음, 심각하게 짧은 정도는 아니라서잘입고 다녀용 속바지만 챙겨입으면 되요ㅎㅎ디자인 귀엽고 예뻐요 잘입을게요!!아, 바람부는날에 입으면 펄럭펄럭 날리니 바람부는날은...바지나 치마를 입고 입는게 좋습니다!
