snbjy**|항상 골반사이즈 맞추면 허리가커서 수선했는데 이 옷은 딱 좋아요.라인도 너무 이쁘게 떨어지고 편해서 좋습니다.한개 더 주문하려구용
426697961**|베이지색샀는데ㅋㅋㅋㅋ약간 찜질방복이나..황토옷? 그런 느낌이 나욕ㄱㅋㅋㅋㄱㅋ그래도 자수가 이뻐요! 흰색도 사고 싶네영
426697961**|줄무늬가 옷끝부분에 이상하게 끊겼지만!!!예뻐서 그냥 입을ㄹ려구요ㅠㅠ진짜 이뻐... 색도 선명하고 사시면 후회 안하실거예요!
426697961**|흰색 검은색 둘다 샀는데 흰색이 아무래도 비침이 조금 있어요!그냥저냥 입을려구요!그래도 괜춘해요! 싸서 여러장 사둬도 될듯 해요
426697961**|고민하시는 분들 믿고 사세요!조금더 더워지면 쪼금 두껍다고 생각할 수 있지만 지금정도에 있기 괜찮아요!자수도 이쁘고 제일 만족해요파란색이 진짜 색이 이뻐요!!여러분~~~사세요
426697961**|고민하시는 분들 믿고 사세요!조금더 더워지면 쪼금 두껍다고 생각할 수 있지만 지금정도에 있기 괜찮아요!자수도 이쁘고 제일 만족해요
426697961**|예뻐용~~한가지 아쉬운점이 조금더 비싸도 되니까 자수였으면 해용..ㅠㅠ흰새과 검정 둘다 샀는데 검정이 흰색보다 타이트한 것 같아요!참고하세요
ksh40**|옷이 진짜 너무 예뻐요. 근데 생각보다 조금 얇긴 하지만 안에 나시 입으면 안 비쳐요! 핑크색 살까 흰색 살까 고민 했었는데 흰색 사길 잘 한 것 같아요. 진짜 추천해요!!@
675776519273224**|색깔이 더 어둡게 나온다고 미리 문자 받았었는데 생각했던것보다 어둡지 않아서 좋아요! 옷이 화사해서 보기 좋아요 ^^
675776519273224**|제가 생각하고 원하는 사이즈이고 디자인 맘에 들어서 샀는데 너무 괜찮아요! 사기 잘 한거같아용
675776519273224**|싼티도 안나고 심플하니 일상생활때 스키니나 슬랙스에 매도 이뻐요잘 산거같아용
420987256**|ㅋ ㅋ..가격 맞출라고 안그래도 팬티하나 필요해서 샀는데 두번 입고 버렷답니당 겁나 편하긴 한데 운동하니까 늘어나서 .. 안감도 걍 접착제로 다려 붙인거라 잘 떨어지고... 가격 맞추려면 양말을 사자 !
420987256**|첨 받았을때 입고나니까 굉장히 헐렁해서 음 맞아 이거 프판없는거였지 ..하고 깨달았답니다 근데 재질이 재질이라서 그런지 넘 시원한거에요 요즘 맨날 입구댕김 ...브릭레드 색 하나도 안촌스럽고 넘 이뻐요ㅜ 근데 앞뒤 잘 부군해서 입으세요 한번 거꾸로 입었다가 속옷 다비쳐서 짱 놀랬었음 ㅋㅋ 아 하나더살까 ...
420987256**|아 이거 진짜 너모너무너무너무 잘샀어요...가격이 너무 싸서 엄청 얇거나 목 금방 늘어나는건 아닌가 걱정했는데 그딴거 다 버리고 질 좋고 퀄좋고 색 너무 예뻐서 내가 다 젊어지고 화사해진다~ 넘 이뻐요ㅜ
420987256**|아 이거 진짜 너모너무너무너무 잘샀어요...가격이 너무 싸서 엄청 얇거나 목 금방 늘어나는건 아닌가 걱정했는데 그딴거 다 버리고 질 좋고 퀄좋고 색 너무 예뻐서 내가 다 젊어지고 화사해진다~ 넘 이뻐요ㅜ
rlgp24**|배송도 빨랐고 어디에나 입어도 이뻤어요 :) ㅋㅋ케지금같이 더워진 날씨엔 반팔에 이거만 입어도 이쁜거같아요 ㅋㅋㅋㅋ굳꾿
420987256**|싸게사서 무난하게 잘 입고다니구 잇어욤! 먼가 ..제가 생각했던 챠르르~ 한 재질이 아니고 좀 뻣뻣하구 공기가 할 안통하는 느낌이엇지만 ㅜ 글고 첨 받았을때 시큼한 냄새가 많이 나더라구요 ㅎ..그래도 나름 좋아요~!
e242**|생일날 놀러가려고 샀는데 너무 빨리와서 당황했어요 역시 고고싱여리여리하고 예쁜데 배꼽하고 뱃살부분이 비치네요ㅠ.ㅜ 여름엔 시원할거같아요 ㅎㅎ 잘 입겠습니다
ldaeun12**|기장이 좀 더 길었으면 하는 느낌이고 소재가 얇아서 여름에 시원하게 입기 좋은 옷이에요. 여리여리해 보이고 여성스러워보여요
ldaeun12**|바지같은 안감이있어서 좋구여 꼭 벨트를 하지 않아도 이뻐요 길이가 좀 짧고 먼지가 잘붙는 경향이 있지만 옷자체는 이쁩니당
ldaeun12**|옷 소매 기장 길이가 딱 원하는 길이엇고 심플해서 입기 편했는데 비치는 감도 있고 몇번 안입었는데 목부분이 금방 늘어나서..... 다른색상으로 더주문할까해용 옷은정말이뻐여!
1872504169655793**|이거 진짜 빨면 장난아니에요ㅠ 로즈티는 그냥저냥 봐줄만 한데 이거 빨면 목이 왼전 프릴마냥 너덜너덜ㅠ 가격대비도 아니고..걍.. 새티일때 한법 입기용인듯 해요ㅠㅠ 딱 5000원 컬리티ㅠ 그리고 조금 클쥴알앗는데 의외로 딱 맞는거 같네용ㅎ
424785192**|까만색이랑 두개 고민하다가 와인색 샀는데 존예.. 까만색도 이뻐서 깔별로 하나씩 갖고 싶어여ㅜㅜ 안에 비치지 않게 안감들어있고 하늘하늘해서 존예!
424785192**|흰색이랑 검정색 샀는데 뷔스티에 원피스 입을때 안에 받쳐입기 좋고 가격에 비해 면도 좋아서 진짜 갠차나여!! 사려는 분들 꼭 사세여ㅋㅋㅋㅋ
1872504169655793**|조금많이 얇아요ㅎㅎ 짧기도 짧고ㅠ 165넘으시면 못 입으실듯ㅠ 앉으면 속옷 다보일듯? 그래도 여기저기 무난하게ㅜ잘 코디 할 수 있을꺼 같아요ㅎㅎ
ldaeun12**|가방이 일단 튼튼해서 오래 들고 다닐수 있을 것같고 재질도 두툼해서 끈쪽이 늘어나거나 끊어질 걱정이 덜들어요. 무거운감이 좀있어서 아쉬워요.
424785192**|길이도 적당하고 안감 들어있어서 너무 좋앗어여! 근데 지금 날씨에 입기에는 좀 더울 것 같아요ㅠㅠㅠㅠ그래도 잘입을게요
ldaeun12**|정말 심플하게 앞쪽에 영어만 써잇어서 어디에 매치해도 잘어울리고 얇은감이 있지만 가볍게 들고 다니기 좋은 것 같아요! 넘넘 이뻐여♡
1872504169655793**|티셔츠 리뷰는 한번 빨아보고 써요ㅎㅎ 저렴한 가격 대비 꽤 괜찮아요!! 근데 빨면 잘 늘어나네요ㅠ 만원 안 되는 가격이라 그런가? 그리고 162한테도 엄청 큰 박시핏이에용!! 참고하시길ㅎㅎ치마는 베이직한 A스커트에요ㅎㅎ
sungari1**|이뻐요 근데 좀 무거워여 그리고처음뜯었을때 냄새 ㅎㄷㄷㄷ 근데 페브리즈같은거 뿌리고 하루 베란다에 놔두면 괜찮아여ㅋㅋㅋ
pc15**|하비인데 사이즈가 크게 느껴져요 ㅠ 다리에 맞추면 허리가 큰 하비인데 허리도 엉덩이도 다리도 사이즈 미스 s를 할껄 했어요 ㅋㅋㅋ재질은 탄탄하게 잡아주고 하는 재질은 아니에여 ...신축성 쩔어요걍 편하게 입기 좋음 !
gpdla**|후회안하니까 꼭 사세요! 신축성도 있고 하이웨스트도 적당해서 배꼽위까지인 심한 하이웨스트도 아닙니다. 전체적인 핏이 예쁘게 나와구요 편해요! 컷팅도 예쁘고 색상은 쇼핑몰 사진이 좀 더 밝게나왔구요(빛때문에 그런듯?) 첫번째후기사진은 좀 어둡게 찍혔어요! 연청 맞아여 두번째 후기사진이 좀 더 실제색에 가깝긴 한데 저것보단밝아요! (방 개더러운데 무시하세요ㅠㅠ) 전반적으로 좀 더 청색이 있지만 예쁜 연청과 중청 사이의 연청입니다ㅋㅋㅋ(뭐래)다들 뭔말인지 알져..?ㅎ 진짜 예쁘고 사이즈도 괜찮네요. 길이도 예쁘고 두께도 적당해요. 심지어 가격도 좋고 배송도 하루만에옴. 네 영업글 맞아여ㅎㅎㅋㅋㅋㅋㅋ 사세요!!!!!!!!!
73805467**|고고싱에서 같이 구매한 뷔스티에랑 입은 !!가슴쪽에 여드름나면 못입을것같지만 그게 아니면 적당히 파여있어서 좋아요그리고 팔뚝살이 어마무시한데 팔길이가 적당해서 잘 가려쥬는..가격에 비해 하늘하늘하고 쫀쫀한느낌이라 조아용
sunyo50**|아이폰 7시켰는데 6왔는데요?
ssbb12**|딱 원하던 디자인에 원하던 길이에요. 쌀쌀할때 걸치기 좋구요 재질도 만족합니다!옷골라입기 귀찮을때 대충 걸쳐줘도 이쁠거같ㅇ아요~
yl46**|길이도 허리도 딱 원하던 사이즈라서 배송오자마자 입어보고 너무 흡족했던제품이에요! 여름에 시원하게 입을수있고 연청이라 보기에도 시원해보여서 좋습니당ㅎㅎ
73805467**|고고싱에서 산 유넥 쫀쫀 어쩌구.. 까만티랑 고고싱에서 산 반다나랑 같이!뷔스티에가 흑흣 살이 쪄서 벗을땐 좀 낑기네요
yl46**|색상도 예쁘고 하늘하늘해서 좋았어요! 다른분들 후기처럼 길이가조금 짧은감이있던거빼고..ㅎㅎ 그런데 저만그런건지 모르겠는데 따로 지퍼나 단추가없어서 머리 넣을때 화장묻을 위험이 조금 있더라구요ㅎㅎ! 그래도 너무너무예쁩니다
mildtree**|옐로우 진심 너무 이쁩니다~~ 살까말까 고민할땐 꼭 사세여! 요즘 유행하는 딱 그 색상이어서 너도나도 입고있을지도 모르지만...ㅠㅠ 이거 4장이나 사서 사진은 아까 블랙에 올렸는데 다른 옐로우 입고 찍은 사진으로 올릴게여~~!!
sksdydd**|저는 키가 작아서 정말 롱롱원피스인데요~ 어중간한 길이말고 정말 롱원피스를 원했는데, (발목에서 한 20cm정도 올라와요!) 정말 딱 마음에 들었어요! 너무 길면 끈을 좀 줄여서 입어야겠다 했는데, 굳이 안그래도 될거같아요 : ) 또한 앞에가 레이스 두층, 뒤에는 한층인데요. 그래서 더 이쁘네요! 무엇보다 너무 편하고 바람불면 너무 시원하답니다~ 지금 날씨에 입기 딱이죠~ 여름엔 반팔에다 입어야겠어요.색상은 제가 올린 사진과 흡사합니다~
kimyeseul**|옷감도 탄탄하고 오래 입을수 있을거 같아서 조아용!!!!만족만족이번에 산 옷들 다 맘에 들어서 자주 이용할거 같아요!!
mildtree**|친구랑 같이 이 티셔츠만 4장 샀는데 5000원치고는 너무너무 이쁩니다!!!! 사길 정말 잘한듯! 사진은 사자마자 에버랜드 놀러가서 찍은건데 색도 핏도 이뻐서 다른색도 구매하고싶어요!
dpswpf60**|자켓 좋아요ㅎㅎㅎ 사실 자켓 때문에 산거라 아직 바지는 안입어봤지만 자켓 정말 매일 입고 다녀요~ㅎㅎㅎ일교차 심한 요즘에 입기 좋아요
dpswpf60**|얇고 색상이뻐서 지금 날씨에 입기 좋아요 색상도 안 더워보이고 너무 좋아요ㅎㅎㅎ 받자마자 입고나갔어요 긴바지랑은 왠지 모르게 안 어울리는거 같아요ㅠ
dpswpf60**|무난하게 입기 좋아요ㅎㅎㅎ 다른 상품이라 같이주문해서 조금 걸리긴 했지만 그대로 옷은 좋아용ㅎㅎㅎ아이보리색상에 얇아서 살짝 비춰요ㅠ
434829736**|리뷰 처음써보는데 너무 좋아서 써야할거같아요 진짜 ㅠㅠㅠ 확실하게 모아주는거 같아서 너무 좋아요 진짜 ,, 다른색상도 구매하고싶은욕구 폭발하네요,,,
30557669**|생각보다 길어서 놀랐어요 ㅋㅋ 근데 안에 넣고 입어서 괜찮아요  크지 않아서 좋구요 음 바지안입어도 원피스 처럼?입어도 될거같네요 값도 싸고 좋아요
30557669**|옷이 시원해보여서 좋음 애들이 상큼해보인데요 ㅋㅋㅋㅋㅋㅋ 흰 치마랑 같이 입었는데 너무 예쁨 다른 색도 살까 고민중이예요 ㅋㅋ
30557669**|진짜 잘산옷 중에 하나! 저옷에 흰 치마 입으니깐 완전 예뻐요!!!친구들이 다 예쁘다네요 ㅋㅋㅋㅋ 돈 아깝지않은 옷!!!!
30557669**|너무예뻐요 ㅠㅠㅠㅠ진짜 산거후회안합니다.......친구들도 예쁘다네요!! 그렇게 짧지도 않아서 너무 좋아요
yjy60**|친구랑 같이 졸업사진 찍을 때 트윈룩으로 입으려고 샀는데 생각보다 길이가 많이 짧은거같아요 약간 A라인이라서 그런지 뭔가 퍼진거같으면서도 부해서 처음에는 적응하기 힘들었어요 그리고 제가 단추를 잘 못 채워서ㅋㅋㅋ 약간 힘들었는데 재질 완전 굿 배송도 완전 2~3일 박에 안걸려서 좋았어요 지금은 단추에 적응되서 후회는 안되고 예쁘게 입을 수 있을 거 같아요 고고싱 짱bb
jkzmw**|디자인은 청치마스럽게 무난하고이뻐요 근데 진짜 스판끼가 하나도 없는듯 싶네요 버스탈때 걱정이에요ㅜ하지만 이쁘니까 패스ㅎㅎ
ekgp32**|검정색치마가 사고싶어서 여기에서 바로삿는데 배송도빠르고 핏도 너무예쁜거같아요ㅠㅜ 제가 하체비만인데 요즘 부쩍 살이쪄서 일부러M시켜서 클까봐 걱정했는데 허리는 살짝남지만 벨트가있어서 딱맞고 핏이 굿!!
lej91**|베이지삿는대 진짜 가격대비 대만족이에요 신발에 냄새조금나긴하지만 신다조면 괜찮아질듯해여!고민말고 사세용!!!
lej91**|딱 무난하게 입을수잇는핏!!흰색샀는데 많이비치지도 않고 딱좋아여!!그래도 안에 뭐하나는 받쳐 입어야될듯해용!
lej91**|이거진짜 너무예뻐여....기장도 저한테 딱예쁜시장이고 근데 입을때 조심해야될듯...발잘못넣으면 찢어져여...
lej91**|이거 약간 복고풍인데 사진이랑 색상도 같고 핏도 이뻐여....천재질도 여름에 입으면 딱좋을듯해용 고민말고 사세용!!!
pc15**|배송 빨랐어요 ! 제주도 가서 입을려고 주문했는데 원하는 날짜 안에 와서 다행이었네요 ~생각한거보다 사진이 더 예쁘게 나와서 대만족했습니다 ㅎㅎ재질은 생각한거정도의 재질이었어요 역시나 마감이 또 허술 ㅜ 그거빼고 좋아여 ㅎㅎ모자도 고고싱에서 6천원 주고 구매한건데 너무 잘 쓰고 댕겼습니다 ㅎㅎ
as388**|사진으로 보고 예뻐서 샀는데 실물은 솔직히 좀 실망이었어요주변 사람들도 별로라 그랬고 다리 두 쪽 밑단이 너무 다르게 생겼어요
as388**|요번에 반바지 두개 샀는데 그 중에 이게 더 맘에 들어요요즘 살쪄서 엠으로 샀는데 너무 커서 이건 언니주고 에스로 다시 사려고요사이즈 26-27정도이신분들도 에스 잘 맞을거같아오
as388**|예뻐요 예뻐요 요즘 이런 나시 찾고있었는데고고싱에서 건졌어요다른 색으로도 또 살 의향있어요가격대비 질도 괜찮아요!
as388**|너무 빨리 더워져서 한 번 사봤는데괜찮은 거 같아요근데 옷에 붙히는게 저는 좀 힘들었어요그리고 붙히면 붙힌 옷 부분에 주름이 엄청 많이 생겨요
lovestory1**|사이즈 s했는데 너무 짧은거같아서 m으로 바꿨어요근데 너무 크네요ㅠㅠㅠㅠㅜㅠ슬픕니다 그래도 쭐여 입을려구요..여튼 이쁘긴이뻐요 수고하세요
lovestory1**|색은 저 사진보다 조금 찐한거같아요생각보다 펄럭거려서 당황하긴했는데 그래도 만족해요많이많이 파세요~~!
lovestory1**|구김이 잘 가는 소재이긴한데 넘 이뻐요잘산거같네요 만족합니당❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
ohi80**|너무너무 이뻐요 이 정도 가격에 이 정도 퀄리티라니,,정말 정말 만족합니다. 어는 신발에도 잘 어울려서 편하게 매칭시켜서 입고다닐 수 있어서 너무 좋네요. 무엇보다도 날씨에 정말 딱 맞는 옷인 것 같아요.
kkhhmm11**|안그래도 안에받쳐 입을게 필요 했고 안에 속옷이 안 비치는걸 보고있었는데 잘 구입했습니다. 올여름 속이비 치는 옷입을때좋겠네요
yanghyeji**|너무 짧지도 않고 너무 길지도 않은 딱 3.5부 정도의 기장이네요 편하고 속옷 보일 걱정없이 입으면 될 것 같아요 기장이 너무 짧지 않다보니 적당한 기장의 상의랑 입으면 더 이뻐요^^
yanghyeji**|너무 편하게 입구 다니고 잇어요 캐주얼하게 청바지나 반바지에 입고 있어요 색깔이 흰 계열이 많은 줄무늬라 연청에 더 잘어울리네요^^
kkhhmm11**|예쁜 분홍색입니다.  촌스러우면 어떻하나 걱정했는데 귀여우면서 길이도 적당하고 입으니 기분이 좋아서 이거입고 빨리 외출 하고싶습니다.
231119990553035**|제일 걱정한게 기장이었는데 걱정과달리 역시 후기와 똑같이 기장이 딱맞네요 %~^ 다행입미당 근데 여기에 어울리는 신발이없어욤ㅁㅁ,,, 신발사야지~~~~~ㅎㅎ
ogy11**|심플하고아무거나청바지에입으면이쁠거같아요얇아서좀비치기는한데그래도괜찮은거같아요 배송도빠르고만족합니다
ekgus87**|평소에 베이비돌같은 느낌의 원피스를 찾고있었는데 마침 찾다가 발견해서구매를했는데 생각보다 재질도 나쁘지않고 길이도 적당해서 좋았어용다른 사람들 후기를보니 짧다는소리가 많던데 그래서 짧을까 걱정하고있었는데 제가 키가 많이 작은덕에 전 별로 안짧더라고요 ㅎㅎ 짧은키가 빛을 발하는순간도있네요 ㅎ 아무튼 비침같은건 조금 있는편이라서 안에 꼭 뭐 입어주셔야할꺼같구요 봄이든 여름이든 적당하게 입을수있는 옷인거같아요 !!!
kkhhmm11**|와! 귀엽네요.  사진 그대로 예뿌네요.다른데는 더비싸던데 저렴하고 질도좋고길이도  적당하니 마음에 쏙 들어요.^^^
