qwe456wls**|팔 길이가 생각보다 좀 기네요 제 팔이 짧은건지....ㅎ그래도 아주 예뻐요!!맘에듭니다 ㅎㅎㅎㅎ
kissmeta**|너무 마음에들어요 ㅋㅋ출산후 18개월이나됐는데ㅡㅡ살은 안빠지고...고무줄바지나 레깅스만맞아서ㅠ ㅠ 집앞말고 밖에다닐옷이없엇는데...드디엉 ㅎㅎ맘에드는 옷을 겟 ㅋㅋ리오더걸려서 조금 기다렷지만 ㅎ기다린만큼 보람잇군요 ㅋㅋ안감 바느질도 꼼꼼히 되어잇고절대 이가격으로 살수있는옷이아니에용 ㅠ후기 믿길잘한듯 ㅠ ㅠ잘입겠습니당♥
jgs48**|오자마자 바로 입었어요!! 제가 하체비만인데 허벅지를 가려줘서 좋아요나시가 너무 짧아서 안들어가면  어쩌나 걱정햇는데 많이는 안늘어나지만 그래도 늘어나서 좋아요 ! 제 키는 157인데도 딱 좋아요!!
sy967**|AA 핏 반바지 처음 사서입어봤는데 결제누르면서까지 나한테괜찮을까 생각했는데 배송오자마자 입어봣더니 허리도 딱맞고 허벅지도 얇아보여요 ! 진청도 사고싶을정도로 진짜 마음에들어요!!!!밑이 쫌짧은데 사실딱보면 그다지 안짧아보이는거같아요~
jenny42**|이거 진짜이뻐요!!!고민하지말고사세요!아이보리색 구매했는데 그렇게딱붙지도않고 너무짧지도않고...청하이웨스트에다가 입으면 진짜이뻐요!6개정도 옷샀는데 이게젤맘에들어요ㅠㅜ친구들도 다 어디서샀냐물어브ㅡ고ㅋㅋ
jenny42**|진짜이뻐요!미키있어서 너무 밋밋하지도않고....근데 좀 많이비쳐요ㅠㅜㅜㅜ흰새나시입어도 나시비치고ㅠㅜㅜㅜ그래도 너무튀는색깔만피하면 갠찮을것같아요!너무 가볍고 편해요ㅋㅋ평소에 가볍게입을수있을것같고 진짜얇아서 시원해요!
thakf93**|박시해서이쁜티♥♥고고싱은가격도착한데옷도이뻐서너무좋아요♥
jenny42**|좋아요!!!제가원래 폴라답답해서 싫어하는데 그렇게답답하지도않고...헐렁하고 넉넉해서 편해요ㅋㅋ평소에 그냥 데일리로입기좋은것같애요!친구들이 다 어디서샀냐고물어보고ㅋㅋ별로 기대안했는데 진짜이쁘구 고민하지말고바로사세요
hyun2**|옷은 정말 이쁜것같아요~
yoondw**|실망많이한상품이에요ㅠㅠ실밥마감처리도엉망이고너무흐물거리고가방도작고끈길이도짧아서많이불편해요그래도디자인은이뻐서반품은안하려구요ㅎㅎ싼값에편하게들고다닐생각으로만족하려구요줄무늬에코백정말갖고싶었는데감사합니다:)
hgy02**|상체가 하체에 비해 살이 좀 있는편이라 걱정했었는데..그래도 아직은 살 더 빼서 입어야될꺼같아욬ㅋㅋㅋ너무 딱 맞더라고용..날씬한 분들이 입으면 진짜 이쁠꺼같아용색도 이쁘고!아 그리구 팔부분이 단추로 되어있는게 아니라 아예 박음질이 다 되어있어서 쪼꼼 불편하긴한데 입다보면 적응되겠죠 뭐ㅎㅎ
dbwlswhdd**|배송이다른옷이렁같이사서좀늦기는했는데가방은예쁜거같아요티2개랑바지1개랑같이샀는데그중에서제일맘에들어요엄청크지도작지도않아서좋구어디에매치해도이쁜거같아서맘에드네요같이온다른옷들이너무별로여서짜 증났는데가방이라도예뻐서다행이에요
jenny42**|그렇게 큰 기대는하지않았는데 생각보다좋아요!!블랙사고 좋아서 화이트 하나더샀어용ㅋㅋ골지티나 붙는티 안에입기좋은것같애요!!입을때 좀불편하긴한데....입으면 편해요 여름인데 그렇게 덥지도않고....고고싱짱이예요ㅋㅋ
thakf93**|포토후기2등!!바지길이도마음에들고 찢어진거도너무이뻐요ㅠㅠ허니진바지진짜좋아용!!다음에더사려구용♥♥여름에이바지제일많이입을듯해요!!사이즈는에스입니당
hgy02**|결제한지 한 이십일도 더 넘어서 와서 화날뻔했는데 입어보자마자 진짜 사길 잘했다고 생각드네용ㅎㅎ허리랑 허벅지도 크지도 않고 막 끼지도 않고 이쁘게 딱 맞아요!글구 소재도 되게 하늘하늘해서 시원해용회색이랑 검정말고 다른 색도 있으면 더 사고싶음..!
sy967**|배송도 빠르게오고 진짜 이뻐요! 가격에비해 면도괜찮고 핏도 이뻐요!! 진짜 후회하나도안되요 색깔별로 살걸그랬어요ㅠㅠ
thakf93**|길이가길어서이대로레기으만입고다녀도이쁠꺼같아용!!베이지색은처음사보는데이쁘네요
yoondw**|아직써보지는못했어요!일자눈썹그리고싶은데손이고자라서ㅠㅠ항상화장할때마다지우고다시그리고지우고다시그리고했는데요거로해결됬으면좋겠어요ㅋㅋ한가지아쉬운점은피부에닿는플라스틱부분들마감이잘안되어있어서좀따갑네요ㅠㅠ
dbwlswhdd**|배송은일주일넘게걸렷어요구김은정말안생길거같은데한번만입어도목부분이늘어나서쭈글쭈글거린달까?여름에입기는좀더운거같기도하고그리고목들어가는부분이너무작아요입을때이마다쓸리는기분이고벗을때귀찟어지는거같아요아퍼요옷입는데이렇게힘든적은처음이에요화장하기전에입고화장지우고벗어야될거같네요생각햤던거보다별로구요딱봣때옷이스티브잡스같아요그래도청치마랑입으니깐괜찮아요
yoondw**|아주아주편해요ㅋㅋ평소스키니진28입는데M사이즈많이크네요뭔가호박바지같은느낌?그래도밴딩이라서부담없이자주입을수있겠어요!중청했다가진청으로바꿨는데색감도마음에들어요기회되면중청으로또사고싶네요감사합니다♡
thakf93**|이뻐요!!옷도가볍고어디든입어도잘어울릴꺼같은티에용길이도길어서그냥레깅스랑도입어도되겟어요!!
wpsl4**|입고 지연이 되서 배송이 되게 오래 걸렸는데!!바지 진짜 이뻐요ㅜㅜ이제 여름이라 더울 줄 알았는데 입어보니까 시원하더라고요!!!잘 입을게요!^*^
dbwlswhdd**|그냥그래요무난하데입을수있을거같기는한데회색을샀는데뭔가좀별로인거같기도하고구김도되게잘생겨요배송은일주일넘게걸렷어요다시사고싶은마음은없을꺼같네요모델분코디처럼세미핏면바지?그거랑같이입을려고샀는데버지는엄청실망했구요이거는다른옷이랑입으려구요
thakf93**|골드색으로시켰는데 색깔이뻐요!셀카봉보다편해서좋아용
ohhar**|후기는 안보고 메인사진만 보고 주문했더니 두꺼운걸 보고 죠금 놀랐어요. 옷모양은 예쁜데 한여름엔 더울 거 같아요. 이번달 까지만 입으려구요.두꺼운게 좀 아쉽긴한데 그만큼 구김이 덜하고 핏이 예쁜 장점이 있어요(뱃살가림)품이 커서 그냥 입으면 부해보일 수 있으니깐 바지에 넣어 입는게 더 예뻐요~
dbwlswhdd**|배송은일주일넘게걸렷고제품은생각했던것보다는별로에요 교환이랑환불은돈도들고귀찮기도해서그냥입기는할건데허리랑엉덩이부분은많이크고종아리랑허벅비는딱붙어서별로안예뻐요끝꺼지올려입고밑단접으면그나마괜찮은데그래두별로에요
ohhar**|저렴한 가격에 비해 원단이 괜찮아요~사이즈는 많이 큰데 목라인이 예쁘게 파여서 바지 안에 넣어 입으니 딱 좋아요. 자주 입게 될 것 같아요회색은 땀나면 다 티나서 유일하게 재고가 남아잇는건가요?ㅎㅎㅎ..무튼 정말 맘에 들어요 고고싱 자주 애용할게요!
iou24**|이거 짱짱짱짱짱 예쁩니다!!!! 넉넉한 감은 없고 살짝 핏되는 것 같긴한데, 포인트로 좋아요. 흰바지 흰면치마 반바지 다 어울리는것같아요! 특히 입술모양이 눈에 띄어서 좋아요. 이것때문에 오래 기다렸는데, 기다릴만했어요! 여러분께도 강추합니다. 구입하세요! 저렴하고 자주 입고 좋아요.
iou24**|바지는 정말 예뻐요!!! 예쁜데.... 왼쪽 다리 뒤쪽이 칼로 그은것처럼 찢어져서 왔어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 재고가 없는 것 같아서 반품은 못했는데, 걸어다니기 정말 부끄러울듯..... 엉덩이 밑에쪽이긴한데.... 재고 하나 남은거 신나서 주문했는데, 아마 다른 분이 이것때문에 반품하신게 아닌가 하는 생각이 드네요. 매우매우 아쉬워요.
say34**|포토후기!!하얀색 티가 필요했는데 괜찮겠다 싶어서 샀어용여름에 정말 시원할 재질입니닷 정말 얇아요하얀색이다보니 옷 안에 이너나시 입지 않으면 속옷자랑하게되겠어용ㅋㅋㅋ크롭인데 막 짧은 그런 거 아니고 충분히 길이 신경 안 쓰고 입을 크롭이에용!!이제 정말 더워질텐데 왠지 자주 입게 될 것 같네요ㅎㅎㅎㅎ
bbqq**|바지 완전 예뻐요!!!! 긴가민가 했는데 예상외로 예뿌고 잘 맞아서 기분 좋네요 ㅎㅎㅎ 뱃살도 없어보이는 효과도 있네요 ㅎㅎㅎㅎ
ohhar**|편하게 학교다니면서 입으려고 샀어요.박음질 완성도가 떨어지지만 가격이 저렴해서 감수할 수 있어요.허벅지에 안붙고 길이도 적당한 밴딩팬츠 찾았는데 싸게  잘샀어요ㅎㅎ어두운 색이 또 있었으면 더 했을텐데 아쉬워요사이즈는 제가 26인치인데 밴드가 많이 안 늘어나서 딱 좋게 맞아요~~
pmm030**|여름에 입기 진짜 좋아요통풍도 잘되고 가격도 완전 저렴한데 질도 괜찮아요!길이가 사진보단 길었는데 그래도 이뻐요ㅋㅋ
bbqq**|기본티라서 무난하게 잘 입고다닐수있고 소재도 쫀쫀하고 좋아요 ㅎㅎㅎㅎㅎ 사면 후회할 일은 없어요 ㅋㅋㅋ
say34**|포토후기 1등!!!이제 여름이니까 연청바지 하나 있으면 좋겠다 생각하고 쇼핑몰 보고 있었는뎅사실 가격때문에 샀습니당ㅎㅎㅎㅎㅎㅎ근데 이뿌네용>< 색도 이쁘고 사이즈도 맞아용기장이 보통 반바지보다 조금 짧긴 해요 그래도 자주 입을 것 같습니당
wodls02**|찰랑거리는 재질인줄 알았는데 면이네요 그리고 너무 커요ㅠㅠ
wodls02**|미듐사이즈도 허벅지 부분이 많이 낑겼었는데 이바지는 낑기진 않아요허리부분이 넉넉하지는 않네요 그래도 가격대비 만족해요 밑위가 짧아서 조금 불편해요
bbqq**|후기 이제서야 올려요 ㅋㅋㅋ 이거 진짜 두께감도 적당해서 에어컨 빵빵한 실내에서도 괜찮고 밖에서도 그렇게 안덥고 좋아요 디자인도 심플해서 입고다니기 편해요 ㅎㅎㅎㅎㅎㅎㅎ 아무바지하고도 잘 어울리구여 근데 학교에서 똑같은 티 입은 사람 몇명 봤네요 ㅋㅋㅋㅋ 핑크색도 이쁘더라구요
pmm030**|진짜 이뻐요ㅋㅋ완전강추체인이 길긴 했는데 클러치로도 사용할 수 있고크기도 생각보다 그렇게 많이 안작아서 좋아요♡
chadh10**|이것두 길이보고 산건데 길이감은 일단 맘에 들어용하얀색 반바지가 입고싶으서 찾다가 이게 눈에 딱 들어왔쥬ㅇㅎ속옷 비칠거같아서 걱정반 으로 삿는데 의외로 잘 안비쳐요근데 진한색 입으면 비칠거같기두해용ㅋㅋㅋ 아 버클은 좀 아쉬워요 끼웠다뺏다하기가 좀 힘듬ㅠㅠㅠㅠㅠ여러번하다보면 괜찮아지겠죠?
say34**|포토후기!!블랙이랑 네이비가 없어서 핑크로 했는데 나름 괜찮네용무난하게 블랙 하고 싶었는데 이제 여름이니깐 핑크도 괜찮을 것 같습니당!!ㅎㅎㅎㅎㅎ생각보다 얇고 하늘하늘 보들보들한 재질이네용색도 이쁜 색입니당가격대비 좋으네용~
cjh43**|목부분 굉장히 별로입니다 비추 재질도 별로ㅠㅠㅠㅠ 저만 그런가요ㅠㅠㅠㅠㅠ 그냥 싸서 삿는데 좀 별로엿어요 그래도 예쁘게 잘 입엇습니다!
chadh10**|너무 짧은건싫고 어정쩡한것도 싫어서 찾아보다가 아 이거 괜찮겠다 하고 샀는데 길이감 완전 맘에 들어요허리도 약간 널널??? ㅋㅋㅋ 다리도 길어보야서 더좋았어요다른바지는 바지구멍이 너무작아서 버클끼우고빼고하는데 힘들었는데 이거는 잘되용 완전졸아!
soodi**|전형적인 일자 쭈리 치마인데요저한테는 약간 밴딩이 헐렁했어요 ㅠ_ㅠ허리가 얇다기보다 키작녀라 절대적 수치는 얇을 수도 있지만... 감수해야겠죵..그래도 티를 넣어서 입으면 괜찮아요 ^^여기저기 코디하기 편한 아이템이라 생각됩니다~
soodi**|많은 분들이 구매하셔서 의심없이 구매했구요기본티가 필요하던 찰나에, 다른 쇼핑몰에서 샀다가 어깨선이 이상해가지고 반품하는 데에 애먹었거든요근데 고고싱 제품은 소재도 부들부들하니 좋고, 일단 핏이 슬림핏이다 보니 날씬하게 보여져서 좋은 것 같아요 ^^믿고 구매했습니다~
ts04**|브라운 샀습니다! 딱 보고색감이 너무 이뻐서 질렀는데 받아보니까 너무 달랐어요. 잘못온줄알고 계속 확인했어요 ㅠㅠㅠ 벽돌색같은 거랑 비슷한것 같아요 . 핏감도 마른편인데 달라붙는 편이여서 좀 아쉬웠어요.얇은 것 같은데 뭔가 더운 느낌? 답답한 감이 없지않아 있어요잘 늘어나는 소재같아서 입기는 편한데 몇번 입으면 못입을 것 같긴하지만 이쁘게 입을게요배송은 빨랐ㅇㅓ요 ㅎㅎ
soodi**|1등 yeah ~버켄 아테네는 신고 벗기가 힘들어서 이번에 투버클 찾다가 고고싱에서 겟했어요 ~높이가 있어서 키작녀인 저에게는 너무 좋은 거 같구일단 푹신푹신해서 좋아요. 약간 바닥 재질이 발땀이 나긴 하지만^^;데일리에 코디하기 좋은 아이템인 것 같아요~ 추천추천
cjh43**|그냥 괜찮을 것 같아서 사이즈 안 보고 삿는데 엄청 커서 환불햇어요ㅠ 제 사이즈에 맞앗다면 재질하고 팔길이하고 완전 좋앗을 듯!
sonyun11**|진짜 배송이 너무 느렸지만..3주만에 받앗나? 그런데 옷받고 목이 너무 늘어져 있어서 원래 이런옷인가 싶었어요ㅠㅠ... 얇아서 지금도 입을 수 있어서 좋고, 디자인도 이쁜데 목이 좀 늘어지게 온것같아요... 배송만 빨랐으면 좋았을걸..ㅎㅎ
cjh43**|S시켯는데요 제가 살이 더 찐건지 아니면 이게 좀 작은 건지 모르겟지만 일단 저한테는 좀 작앗어요 그리고 잘 안 보고 삿는데 디자인 굉장히 별로.... 제 친구가 입은 걸 봣을 때 핏은 예쁜 것 같아요.
sonyun11**|배송은 좀 느렸지만, 옷 원단이 짱짱해요! 색깔도 이쁘고, 화면에서 보는것보다 더 이뻐요! 박시하고~ 편하게 잘 입을 수 있을것같아요^^!!!
ts04**|브이넥을 찾다가 색감이 너무 이뻐서 네이비로 샀어요!박시한 핏감을 제대로 느꼈내요 ㅎㅎ 받아서 입어보니까 .생각보다 기장이 길어서 놀랬어요.박시하고, 기장도 좀 길어서 옷을 넣어서 입기 좀 불편감이 없지 않아 있는데 이뻐서 그냥 입을려구요단점은 좀 두껍다는거? 소재가 부드러워서 좋긴한데 많이 두꺼운 편이더라구요조금 더 얇았으면 하는 아쉬운 감이 있습니다 ㅠㅠ 근데 얇으면 얼마 못입고 버릴것 같기도하고 암튼 이쁘게 입을게요 ㅎㅎ
dlsk02**|대박!대박!대박!!슬랙스치고 가격도너무저렴해서 솔직히 기대 안했는데입자마자 감~덩~여름에입어도 하나도 안더울거같아요 면도 얇구 통이 넓어서 ~진짜 가볍고 질도 나쁘지않구!! 슬랙스 믿을만하네요~입고지연으로 배송은 1주일만에왔어요/-/
ts04**|아이보리 샀ㅇㅓ요 흰색 티 찾다가 디자인이 이뻐서 샀습니다!!베이직한 디자인에다가 색깔도 흰색이라 어떤 하의든 쉽게 코디할수 있어요배송도 빨랐구요, 냄새가 조금 나서 한번 빨아서 입으려고 돌렸는데 안에 있는 것?이라 해야하나암튼 그게 덜렁 거려서 입고 나서 정리해야하는 불편함이 좀 있엇지만쉽게 입을 수 있어서 좋아요. 팔, 상체길이도 적당하구요! 짧은 반팔같은 것도 나왔으면 좋겠어요.더워지면 많이 못입을 것같기도 하고 ㅠㅠ 얇지만 그래도 더운 감이 있을 듯싶내요암튼 이쁘게 입을게요 ㅎㅎ
