hanb**|완전 이뻐요!!저거 저렇게 안 매고 옆으로 두 쪽 다 한 쪽으로 매도 이쁘더라구요 ㅠㅠ 핑크 짱!!완전 이쁘요 ㅋ
wltnre**|좋아요피부가 좋아지는것같구요간편해서 좋아요 만족해요
wltnre**|좋아요눈썹뽑으려고샀는데 진짜 잘뽑히고사길잘한거같아요 만족해요
ms**|싸운드 멜빵스키니너무너무너무너무 예뻐요사이즈도 딱 맞고 너무너무 편해요
dlsr**|슬림지갑 레드 후기!제가 이거 사기전에 레드 후기를 한번 찾아볼까했는데..사진이 없어서 뭐 참..ㅠㅠ 난감했지만 혹시라도 레드! 사고싶은분들을 위해사진첨부했어요 ^ ^ ~ ~~!친구 선물해주려고 샀는데 저도 탐난다는...주기싫어짐ㅠ_ㅠ.....ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ정말 말그대로 슬림하구요 내부 깔끔하고 냄새 ㄴㄴ 전혀없음!완전 만족이에요>_<<<<<<<<<<<친구도 사진보고는 맘에들어했었음 ! !!진~짜 이쁘구 심플해요!
wltnre**|인디언핑크처음 봤을때 깜짝놀랫어요 너무 작아서인디언핑크로 샀어요 색깔이 예쁘고 잘 발라져서 만족해요
dlsr**|비타민같은너2/블랙 후기!★★★★★★ 별 다섯개를 넘어서 여섯개 !다른 상품들이랑 같이 받았는데 받자마자 두근두근.경비실에서 오자마자 열어제끼고 사진찍었다는 그...ㅋㅋㅋ진짜 깔끔하고 좋아요 ! 심플심플><급한마음에 같이 온 물건들 죄다 가방에 집어 넣어서 사진찍어 봤어요ㅎㅎ간단하게 입고 매도 좋고 아무튼 이래저래 유용한듯..!!흠집하나 없고 냄새도 아예안나고 가방 너무 잘산것같아요 ~ ~~앞으로도 많이 애용할게요 !
dlsr**|87후드 레드 후기!★★★★★별다섯개>_< ~!!시험보는 중임에도 불구하고..받아보자마자 상품후기 올려야겠다고 생각해서 !! ...ㅎㅎ다른상품들이랑 같이 받았는데 포장도 잘 되어있었구요막 이상한 냄새같은건 아예 하나도 안났어요 ㅋㅋ그냥안빨고 입어도 될만한?(그래도 한번 세탁은...)언니가 입고찍으셨던 색깔말고 아래에 펼쳐놓은(?)그 색상이에요!와인색?이라고 해야하나ㅎㅎ어쨋거나 색깔 너무마음에들어요~길이도 괜찮구 진심 그야말로 캐쥬얼하게 입을 수 있는 옷이에요언니가 입을땐 남았던 바지가...내가입으니깐 끼는이유는?ㅠㅠㅋㅋㅋ무튼 ! !! 그냥 깔끔하게 청바지에만 입어도 예쁠것같네요ㅎㅎ최고최고최고~~~~~~~~~`
jysh08**|좋은대여ㅇㅇㅇ굿
jysh08**|좋네여좋아여 굿굿
나유경|이뻐요!! 강추!!찡스키니 오늘 왔는데진심 ㅠㅠㅠㅠ 폭풍 감동어글리스키니랑 찡스키니 둘중에 고민하다가그냥 찡스키니 질른 ㅋㅋㅋㅋㅋㅋㅋ워싱 진짜 이쁘고 다리에 쫙 붙어서 맘에 들어요허벅지부분이 살짝 크긴하지만....ㅠㅠ아무튼 진심 이뻐요!!
tup7**|귀욤;ㅣ귀여미귀요미완죵 귀요미예요작아 ㅋㅋㅋㅋㅋㅋㅋㅋ좀 비싸ㅛ 근데 ㅠㅠㅠㅠㅠㅠㅠㅠ
fls10**|이뻐요 !!완전 예뻐요 제 엄마가 입을껄로 샀는데요 보라색으로 샀어요글자도 잘 안떨어질것같이 생겼고 티라고치고는 진짜 예뻐요밀리맨투맨이랑 같이 시켰는데 완전예뻐요배송도 많이 빠르구요. 촉감도 좋은거 같아요쫌 예쁘다고 생각되시는분들 사셔도 될꺼 같아요!!!!사은품들 잘받았습니다 !!!!고고싱 많이 사랑해드릴께요 ~ ♡
ow15**|오늘 택배왔어요~~^^겨울에 신을 신발이 필요했는데딱 바니런스가 생각 나더라고요일요일에 돈을 넣었는데 화요일에 도착했어요 ~~^^완젼빨리 도착한거같아용 정말감사합니다 따듯하게 이쁘게 신고 다니겠습니당 ㅎㅎ
tup7**|좋아요배송이 느리긴햇는데 좋아요 ㅋㅋㅋㅋㅋㅋ핫핑크 이뻐요만족함함함ㅋㅋㅋㅋㅋㅋㅋㅋ근데 쫌 냄새나네요ㅠㅠㅋㅋㅋㅋ그래두 굿!
fls10**|짱♥제가 이거 레드갖고 싶었는데 엄마가 안된다고 해서 네이비로 샀는데완전 대박 ~ 이예요배달오자마자 좋아서 날뛰다가 사진찍고 입어봤는데촉갑도 좋고 얇은거도 아니고 두꺼운거도 아니고 딱좋은 두께구요일욜날에 시켜서 월욜날아침에 입금시키고 화욜날에 받았어요사은품으로 다운로드이용권 2장, 비비샘플, 피부관리하는거 샘플도 완전고맙습니다배공도 빠르고 옷도 좋고 샘플도 감사해서 별 다섯개요 ~사진도 첨부했어요 !!진짜 보자마자 질러도 될만큼 예뻐요 ♡
rosema**|예쁨후드나 카디건 보다가 이거 딱이다 하고 샀는데 진짜 예쁨내가 찾는 스타일임.제가 찾던 스타일은 일단 크고 헐렁헐렁한 느낌의 다크색깔 후드.받아서 보니 후드에 적힌 글...=0 = (엉터리...ㅋ)키가 작은데 만날 티셔츠에 바지만 입고 이거 입으니까느낌 확 살고 편안해 보임..... 여튼 만족함.담에도 이런 후드 다른 색깔 나오면 살 예정임...대신 담에 제대로 된 프린트를 ^^...외국인이 볼때 비웃음..;;;
rosema**|-ㅂ-에시..방금 적었는데 ㅈ ㄴ,영어로 joke라는 단어 썼다고 다 삭제 됨...아 귀찮음...대충 쓰겠음.( 위에 쓰셔야죠 ...-ㅁ-헛고생했넴.)일단 가격이 싸서 의심스러웟음 하지만 리뷰보고 사기로 했음받아보니 진짜 작음. 빨리 쓸거임.자기전에 발라야 효과 짱임.그래서 하나 큰거 주문햇음.여드름 치료됨. 연해짐. 음..글고 아 통 재활용 가능함. cute.흡수도 잘되고 발림성이 좋음. 향도 사과향임..여튼 좋음.
whdms35**|귀여워용ㅋ키가 168ㅇㅣ라 큰편이라서 왠만한 사이트는 좀 작고 그렇거든요ㅋㅋㅋㅋ근데여기는 길이 딱맞게 나와서 좋네요ㅎㅎ 제 기준으로 핏 잡으면 엉덩이 중간까지와요 쭉 내리면 엉덩이 덮구ㅎ디자인도 이쁘구요~ 근데 역시 이것도 좀 얇네요!하튼 배송잘받앗습니다 2번째배송인데 만족스러워요ㅋ 덤으로 바비펫 팩도 주시고!
whdms35**|좀얇네요생각은 두툼한 기모? 까지는 아니더라두 어느정두 두께감을원했는데그정도는 아니에요 .. 지금같은 날씨에는 잘 입겠지만겨울되면 안에 몇겹입고 또 입고 이러케해야할듯ㅎ
whdms35**|아ㅠㅠㅠ진짜 가격대비짱이네여!고고싱두번째구매에요~ㅋ다른데서 구매했다가 된통 날벼락맞아서 이젠 고고싱빼고는 안사려구요배송은 5일걸렸구원래 사이즈가 26~27인데 한사이즈 더 크게 시키라고 해서 28로 시켰는데이게 진짜 스키니진이 맞는건지ㅋ.ㅋ 모델엇냐처럼 루즈? 그러케되서 엄청 편하구!!스키니진이 이케 편한건 못들어봤어요!ㅋㅋㅋㅋ색깔은 표지사진보다는 좀 어두운색이에요~
rosema**|좋음.통도 크고 예쁘고 느낌도 좋고안에 젤리 같이 막 쓰고 싶은 크림향도 자연스러워서 좋고스킨->로션->크림 써랬는데 이렇게 쓸때는 흡수가 빨리 안되서 계속 토닥 쳐줘야함그래서 하루에 3번쓰는데 2번은 기초화장 없이 사용.엄청 빨리 흡수됨.가격에 비해 좋은제품 같음.=> 피부에 탄력과 수분을 줌. 좋음.
푸우|이지슬립온후기^*^진짜볼이좀작네요...꽉껴요ㅋㅋㅋㅋ근데본드같은거는안묻혀있었어요ㅋㅋㅋㅋㅋ맘에들어요~
푸우|마틴미니백후기^*^좋아요~~~~~~~~~~~~맘에들었어요!!!!!!!!!!!!!!!!!근데친구들이랑놀때사용할려그랬는데배송이늦어서...................그래도맘에들었으니까별5개!!!!!!!!!!!!!!!!
jk150**|이쁘긴한데...제가 키가156인데 허벅지중간까지오네요-_-엄마가원피스샀냐고.....너무긴듯 배송도느리구...그래도 좀있으면 도착할가디건에 기대를걸어야 할듯!!!!
푸우|하찌가디건 후기^*^배송느려서별네개요~~~~배송만빼면은진짜제가산가디건들중에서제일맘에들어요~~진짜후회안해요~~~~망설이지말고사세요ㅋㅋㅋ
jiyeong**|완전 만족~ ^-^이거 색깔 완전 맘에 들어용ㅠㅠ딱 제가 찾던 청바지...완전 진한 청이여서 검정인지 청인지 언뜻보면 잘 분간이 안가요.ㅋㅋ스판끼가 많아서되게 편해여~ 쭈욱쭉 늘어남.ㅋㅋ하이웨스트 부분도 예뻐열 ㅋㅋ배송도 빨랐구여 진짜 맘에들어여 강추~!!
wkdud**|검정색 후기다 괜찬은데 사이즈가 크게 나온것 같네요 ㅎㅎ제발이 원래 235여서 235로 샀는데 제 발에 커서별 하나 뺄게요근데 사이즈 빼고는 잘산것 같네요 ㅎㅎ
임지연|좋아요!!!!근뎀ㅠㅠㅠ좋아요근데배송이좀많이느렸고요...배송한일주일걸렸어요.....그리고제가 159/41인데좀커요.............그래도만족해요~
yjo06**|비비드 맨투맨-레드배송이 정말 늦게와서 별 하나 깎았어요ㅠ처음 봤을땐 좀 빨간내복같아서 후회했어요.근데 계속 보다보니까 예쁜거같고 안에 흰티나 남방같은거 같이 코디해주면 이쁜거같아요ㅎ맨투맨티 이런거 하나 갖고 싶었는데 나름 괜찮은거같아요~
yyooo**|휴....신발은 맘에 드는데 검은색 시켰는데 회색왔네요^^다음부턴 확인 제대로 하시고 보내주세요신발은 마음에 들어서 그냥 신을게요
dygh**|우와 >..완전 이뻐요ㅎㅎ!! 받은지는 꽤 됬는데 이제야 후기를 쓰네요ㅜ..ㅜ배송이 좀 늦어서 실망 많이 하구 있었는데 상품은 만족이에요!!사진이랑 완전 똑같구요 >_< 앞으로 고고싱 많이 애용해야겠어용ㅎㅎ~!!
smin**|ㅠ.ㅠ기대를많이햇는데..실망이네요ㅠㅠ..그리곸..털빠지는듯..니트라그런지..ㅠㅠ;그치만..뭐 나름이뻐요!
lde81**|밀리맨투맨 대박후기!^0^진짜 추천해요!
yunsg89**|그린티향 시켯어요고고싱 쇼핑몰 안지는 일주일됬는데잘 이용하고 있습니다 다음에 또 주문할꼐요^^
yunsg89**|진짜 작다ㅋㅋㅋㅋㅋ어제 입금 시켰는데 오늘 왔네요3시이후로 보내달라고했는데 정말 시간도 비슷하게 왔구요조금 놀랬네요 너무 작아서ㅋㅋㅋㅋㅋㅋㅋㅋ되게 기여워요얼굴에 펴 발라보니 이쁘게 잘되는거 같아요다음에 또 구입해야겠네요 이번엔 큰거 해야게써요ㅋㅋㅋㅋ
codms26**|ㅠㅠㅠㅠ저는이상품이맘에들긴하는데요아래에공주님들께서작게나왓다고하시길래 ㅠㅠ제가원래 26입는데27을주문했거든요 ㅠ그래서저는 다시사이즈교환 할려구욤 ㅠㅠㅠㅠㅠㅠㅠㅠ
comzi**|제모 크림아직 안 써봤지만..ㅋㅋ괜찮을 것 같아요> <
codms26**|후기!!커보이는데이뻐요 ㅎㅎ심플하고 만족해욤 ㅎㅎㅎ
codms26**|후기오늘받아봣는데요 ㅎ딱보면 별룬데보면볼수록 정말이쁘더라고요 ㅎ그리고 커보이는데 입어보면 딱맞고 좋아요 ㅎ엉덩이반쯤가리는데요 편하고이쁜거같아요
olqqq**|좋아요배송도 빨리오고면도 너무 두껍지도 않고 두께도 적당한게지금 딱 입기 좋은시기인것같아요밑에 많이 조일까봐 걱정했는데 딱 예쁜것같애요핏이 좋게 빠진듯,ㅋㅋ
codms26**|후기~오늘 보이스키니를받았는데요정말 이쁨니다 ㅎㅎ색깔은 좀 차이가있긴한데요스판은 정말 좋습니다ㅎㅎㅎ택배는 10일정도만에왓구요모든상품이 주문폭주라하니 ㅎㅎ고고싱 이쁨상품과 친절한 언니들의 답변에 인기가 폭주인거같아욤 ㅎㅎㅎ사은품은 만족합니다 ㅎㅎㅎㅎㅎ제친구는 사은품이안왔다고 뭐라하더니 저는왔네요 ㅎㅎㅎㅎ
lde81**|비비드맨투맨-그린 후기!진짜 후회안해요!ㅎ.ㅎ
sis38**|밀리맨투맨+레알돌청스키니생각보다 핏이좋네요신체사이즈는 158 / 40입니다.망설이지말고 구입햐요.ㅋ
chfla7**|밀리 맨투맨 후기!!이옷에 이 가격 진짜 괜찮고요.너무 헐렁하지 않아서 좋고 너무 이뻐요^^많이 주문하겠습니다.^^
gesu**|점점좋아지는거가태요!!요즘쓰고있는데 쓸때마다 좋아지는거가태요!!ㅎㅎㅎ근데 쓰고나서 폼클렌징으로 씻을때가 넘 힘든거가태요 ㅠㅠ그것땜에 별하나뺏구요 ㅠㅠ무튼! 넘넘 좋았어요!! 냄새도 사과향나구 ㅎㅎㅎ
eppo97**|요거요거대박인뎁?일단배송두추석연휴가있었으므로별다섯개구용!입어봤눈뎁흑흑아니뭐이런곳이다있어요?!대박조아영!!!!!!!!!!!!!!!!!!!!감동했어용!!그래서별다섯개ㅠㅠㅠ저항상고고싱구입해요~앞으로도수고하시구언제나별다섯개임당!!♡♥안나뵤고고싱♥♡항상별다섯개!!!!!!!★★★★★
gesu**|좋아요>_고고싱에서 처음으로 주문했는데요~배송도 빨리왔구요 경비실에 갖다달라니까 경비실에 맡겨주시고 넘 좋았어요 ㅎㅎㅎ
sssoo**|루앙 핫팬츠!!!완전빠른 배송!!!입금하고 하루만에왓어여ㅎㅎㅎㅎㅎㅎㅎ!!!!!!길이도 적당하고!!! 앞에 뜯어짐이 이뻐용ㅋ아무티에나 어울리고! 스타킹신고 입어도완전이뻐요 ㅎㅎㅎ 잘산고가태염ㅎ-ㅎ
sssoo**|마틴 미니백~완전이뻐요!!!!!!!큰 가방은필요없고놀러갈때 지갑이나 거울 빗이런거 넣고 다닐가방필요햇는데딱맞아요 ㅎ-ㅎ 아무옷에나어울려요 >_<ㅋ 앞으로도 고고싱에서많이 살꼐용ㅋ!!!!!!!
sssoo**|제이미 골지티!!!배송은 입금하고 하루만에왓어요!!!검은색하고 아이보리삿는데~흰색은 쫌 비치긴한데 나시랑같이 입으면비쳐서 더이뻐요!!! 치마랑도 잘어울리고반바지랑도잘어울려요! 좀 붙어서날씬해보여요 >_< 잘산거같아욤!!! ^,^
kese**|많이 짧아요^.,^아래 후기들 보니까 길이가 적당하시다고들 하는데..제가 이렇게 짧은건 안입어봐서 그런가 ㅠㅠ전 158인데도 짧게 느껴지네요. 상세 사이즈 참고 하고 산건데도 막상 입어보니까 ㅋㅋㅋㅋ바지 자체는 도톰하니 한 겨울에 입어도 좋을 정도구요.아랫배를 가려주는 사이즈라서 배 나와보이지 않아서 좋아요.다만 길이가 압박 ㅋㅋㅋㅋ 허벅지 살 좀 더 다듬고 입어야 겠어요 ㅠㅗㅠ 겨울아 늦게 오너라~~
kese**|음??배송은 결제한지 일주일 만에 왔어요 ㅠㅗㅠ아마 하찌 가디건이랑 같이 보내주시려고 했는데 하찌가 아직도 부족한지 일단 먼저 왔습니당 ㅜㅜ저는 가디건 안에 레이어드 해서 입으려고 산거라서요.제이미 골지티 하나만 입으면 심심한감이 없지않아 있어요.아이보리 색상 구매 했구요. 속옷이 적나라하게 비치네요^.,^그래도 뭐 요즘은 시스루룩 많이들 입으니까 속옷을 예쁜것으로 챙겨 입고 입으면 나름 느낌 날것 같아요.니트 베스트나 끈으로 된 원피스 안에 레이어드 해서 입으면 이쁠 것 같아요.일단 요거 하나만 입으려고 생각하시는 분들은 좀 고민 해 보셔야 할 듯 싶어요~
kys1**|완전 맘에들어요 !두툼하고 지금같은 날씨나 겨울에 입기 딱 좋은것같아요 >.<생각보다 되게 따뜻하던데요 !그리고 후기보니깐 길이 짧다고 그러시길레 되게 짧은줄 알았어요근데 제가 입으니까 엉덩이 다 덮고 .. 완전 길던데요 ㅠㅠ 당황했음 ㅋㅋㅋㅋㅋㅋㅋ근데 너무 이쁘고 폭스스키니랑 같이샀는데넘 잘어울려요 짱짱
kys1**|우왕 WoW이뻐요이뻐요생각했던 것보다 훨~~~~씬 너무 편해요진짜 입는순간 완전 착 달라붙음 !근데 한가지 문제가 바지가 너무 얇아요 ㅠㅠ겨울엔 입으면 추울것같은 ㅋㅋㅋ
hamv**|프랜드백팩 블랙배송때문에 점수깎아먹네요ㅋㅋ배송진짜 맘에 안들었어요ㅋㅋ주문한지 십일일지나서야오고공장사정이랑 입고지연때문인건 알겠는데 기다리느라 목빠지는줄 알았쭘ㅜㅜㅋㅋㅋㅋㅋㅋ그래도 받아보니깐 가방은 만족인데...역시나 허리끈...뭐죠ㅋㅋㅋㅋㅋㅋㅋ저도 그냥 확 짤라버렸어요ㅜㅜ짜르는게 훨씬난거 같아요뒤로 숨켜서 다니면 뭔가 가방이 삐뚤어지는것 같고불편함도 없잔아 있고ㅋ 잘르길잘했죠 뭐 ㅜㅜ근데 가방자체에선 냄새가 안났는데ㅋㅋㅋㅋㅋㅋㅋㅋㅋ지퍼를 열자마자ㅡㅡ 완전 요상꼬리한 냄새낫다능ㅋㅋㅋㅋ이건 뭔 냄새임 발냄새 개쩌는 아저씨들양말 썩혀서 너논줄ㅡㅡ..그래도 냄새는 향수뿌려서 금방 없앴어용ㅋ무튼 이쁘긴이뿌네여ㅜㅜ왠지 빨강이 더 이쁠것 같아 아쉬워요..ㅜㅜ
gkd**|솔직한후기(입술에각질많고색없는사람필수참고!)제품크기★★나의검지손가락정도의굵기에 길이였음 좀작다고해야되나.... 사진보다색깔★★★가격대비에괞찮은색깔 진해도 연해도 좀 이상하고 ;;;;잘발라야될것같음한마딜 레드였음 레드 연하게바르면 달려라하니에 고두심입술 ? 진하게바르면 쥐잡아먹은것같음몇번수정하니까 색깔이 고고싱본문사진보다 더 이뻐서 만족배송★진짜느림 기어서배송하나 ;;;;; 주문폭주인데다 추석겹찬고인정했지만 좀 느렷움 ;;;;(아직안온거 빨랑보내주세요 ㅠㅠㅠㅠㅠㅠ짱장한걸루 )사은품★★★★바비펫딸기톡스파잉마스크랑 매직걸즈플러스비비크림 와씀 아직안써봐서 별4개임 !!!사은품으좋았음 ~기타)발색력대박 진심 한시간이상의 지속력 나븐버릇중에 혀로 입술자꾸건드리는데도 안지워짐 !!
skdud**|이뻐요ㅋㅋㅋ고고싱에 가을가디건신보는데맨위에 이가디건이있는거에요!!가격도완전싸고 그래서클릭햇더니뭔가제스타일이라...ㅋㅋㅋㅋ제얼굴색이살짝거매서와인시킬라다가 그냥 그린햇는데첨엔 별로면어뜩하지생각했는대역시 고고싱!!입어보니깐 진짜이뻐요ㅋㅋㅋㅋ대신..배송이좀늦었다는거죠..뭐그래도 이것도고고싱이많이번창하고있다는거니깐ㅎㅎ언니들힘내시구요 예쁘고좋은옷 많이올려주세욯ㅎ♡
