tndds**|진짜 완전 쫀쫀 그자체구요 그냥 옷만 펼쳐놓고보면 이게 어떻게 들어가나 싶을정도로 작아보이는데 또 들어가요 발목까지 완전 쫀쫀해요 허리도 완전 쫀쫀
du46**|안에 바지가 있어서 부담 없이 입을 수 있으니까 좋아요! 원단 자체가 스판이 없긴 하지만 깔끔한 느낌이 나서 저는 만족합니다♡ 아 근데 스판이 없다보니 위에 티가 잘 빠지는 느낌?... 원래 에스를 살랬는데 품절이길래 엠을 샀거든요ㅠㅠ에스 샀으면 더 딱 맞게 입을 수 있었을텐데...! 그래도 전체적으로는 굳bb
chorom**|이건 진짜 대박이에요!!!!!! 하나 더 살까봐요ㅋㅋㅋ 사이즈도 잘맞구요! 우선 저는 길이를 줄이지 않아도 되는것이 제일 좋아요!!!!!!
chorom**|칼배송!!! 고고싱은 배송이 대체로 빨라좋아요~~옷도 좋아요~ 봄에 이너로 무진장 많이 입을듯하네요^^ 아이보리 네이비 둘다 굳굳!!!
pororo03**|생각보다 옷이 너무 많이 이뻐서 놀랐고ㅠㅠ사러페이지 들어올따마다 품절이라서 사기 힘들었는데 늦게나마 사게되서 좋았어요!!!!그리고 기장이 좀 짧은 감이 없지 않아있긴했는데 치마안에 넣어입느니깐 괜찮더라구요 그리규 팔부분이 좀 폭이 너무 넓은점이 아쉽긴했어요ㅠㅠ
chorom**|배송은 역시 고고싱이죠~~저렴해서 질이 나쁘면어쩌나 반신반의하며 구매했는데, 질이 좋고! 어디나 잘 입을수있는 이너에요~~  굳굳!!!
aptlfth**|이뻐요!!!!베이지가아니라 베이비핑크!!!!근데  어깨 넓은편에다가 66정도이신분들은  비추요ㅜㅜ사실은 사놓고 어깨가 불편해서 안입고있어요...ㅜ
aptlfth**|무난하게입기좋고 예뻐서  핑크 아이보리 베이지 세가지 다 구매했어요  얇아서 요즘이너로 입기좋아요!!!  날씨더풀리면 하나만입어도 괜찮을거같고!!!핑크랑 베이지는 그냥 괜찮았는데  아이보리는 하얀색에가깝고 얇은편이라 나시 안입구입으면 비춰요ㅜㅜ
aptlfth**|넥라인 너무이쁘고요살짝두꺼운것같지만  많이 두껍진 않아요  지금같은 날씨에  딱 입기좋은듯!!!  길이가 길진않아서 원피스나 하이웨스트에 입는것도  좋은거같아요!!!
als26**|입으면 일단 예쁘고 귀여워요 두께감도 생각보다 두꺼웠어요!다만 제가 어깨가 좁아서 카라부분이 어깨선을 넘지만ㅋㅋㅋㅋ 상관없이 예쁜것같아요
aptlfth**|아직 입어보진않았는데기본티라  무난하게  여기저기 받쳐입기 좋은거같아요!!! 초여름이나 비오는 쌀쌀한날 이너로입고 가디건이랑 같이 입어도 좋을거같아요!!!!
monnani60**|원래 바지는 인터넷에서 안시키고 가서 사는데 친구가 고고싱 바지좋다고해서 칮아봤는데 내가 원하는 디자인딱있어서 딴생각안하고 바로 시켰는데 시키길잘한듯ㅎㅎㅎㅎㅎㅎㅎㅎ 너무 좋음 스판도 잘늘어나고 좀 뚱뚱한편인데 그래도 M사면 좀 작지않을까 생각했는데도 그냥 M샀는데 사길잘한듯 뚱뚱한데도 사이즈가 작지도 않고 진짜 좋은듯
kjy83**|가격대비 훌륭한 것 같아요 색깔도 이쁘고 보들보들하고 나름 따뜻해요. 디자인도 무난해서 평소에 색깔별로 사놓고 입기 좋을 것 같아요
monnani60**|옷가게에서 보고 인터넷에 찾아보다가 가격도싸고 디자인도 제일 맘에드는 곳 찾다가 고고싱에서 시키게됬는데 진짜 시키길 잘 했단 생각이 .. 흐흐흫 후기도 진짜 좋고하서 믿고 샀는데 배송도 짱빠르고 디자인도 생각보다 훨씬 좋고 가격도 진짜 겁나 저렴하고 진짜 너무 잘산듯ㅎㅎㅎㅎㅎㅎㅎ
abc**|받자마자 색깔이 너무 예뻐서 놀랐어요!! 근데 사진으로 보이실지 모르겠는데 옷이 너무 시스루마냥 살이 다 비치네요 ㅠㅠ 아이보리가 예쁘긴하지만 어두운색을 추천합니당..
sarangc**|색깔은 저는 카멜 색깔을 생각했는데생각과는 조금 다릅니다.사진보다 약간 밝아요.머스터드가 맞구나 생각하시면 될듯요~옷이 얇아서 아직은 추워요~
sarangc**|제가 딱 원하고 좋아하는 디자인이라서 엄청 마음에 듭니다.다만 어딘가에 잘 걸리고..손가락이 숭덩숭덩 빠지는;;ㅋㅋㅋㅋㅋㅋ약간 성글다고 해야할까요?;ㅋㅋㅋㅋㅋ
sb30**|금요일에 주문해서 월요일에 바로 받았습니다!! 빠른 배송 감사해요~ 처음에 바지를 확인했을 때 통이 널널해보여서 안도하고 입어보니 진짜 이뻐요!ㅎㅎ 허리부분도 적당히 맞고 키는 작은데 미리가 길어서 너무 올라오지 않을까했는데 괜찮았구요~ 그리고 허벅지부분도 사진상은 좀 붙어보이는데 붙지도 않고 보기싫게 헐렁하지도 않구요~ 종아리부분까지 일자로 이뻐요~~길이도 접어도 펴도 이뻐요! 고민하고 산 바지인데 마음에 딱 들어용 잘입겠습니다~~
sarangc**|색깔 좋고 디자인도 좋습니다.목 윗부분부터 단추가 있어서 따뜻해요~핏은 넉넉하고요.청바지에 잘 어울립니다.봄에 잘 입을 것 같네요~
abc**|생각했던 것 보다 더 새 하얀 색이에요!! 속바지 붙어있다고 그래서 혹해서 샀는데 너무 예쁘고 다 좋지만 주름이 너무 잘 지네요 ㅠㅠㅠ 주름이 티가 많이나서 검정색 살껄 약간 후회됩니당 ㅠㅠ
godms**|원피스랑도 잘어울리고 검은색 스키니진이랑도 잘어울릴것 같다. 봄이랑 아주 잘어울리는 가디건인것 같다. 이걸 입고 친구를 만나러 갔었는데..할머니같다는 소리를 들은것 빼고는 아주 마음에들고 이쁘다이번봄에 많이입고다녀야겠다❣️
jangjinh**|피팅사진이랑 실제옷 색이달라서 당황했는데 그래도 입으니 괜찮네요 ㅎㅎ 목 리본꼭해야됩니다 ㅋㅋㅋㅋ 안하면 이상해요 ㅠ ㅠ 그래도 예뻐요
jangjinh**|무조건 구매각입니다!! 허리도 고무가 잘잡아주고 하늘하늘~~원피스 안쪽면이 까끌해서 별로인옷들 많은데 이옷은 보드랍고좋아요  (말라보이는효과 짱)
qwsa77**|기존에 있던 네이비 셔츠가 너무 커서 새로 하나 샀어요! 핏도 제가 딱 원하던 핏이었고 입었을 때 더 이쁘네요 :-) 고고싱에서 같이 산 검정색 뷔스티에 원피스랑 같이 입었어용 ㅎㅎ 아쉬운건 오늘 배송 받았는데 오늘부터 50프로 세일하네요..ㅠ 이쁘니까 됐어요 큐ㅠ1
qwsa77**|예뻐요!스트라이프 셔츠랑 같이 입으려고 검정색 샀는데 싸게 잘 산 것 같아요 ㅎㅎ!! 길이도 적당하고 입었을 때 핏도 예뻐요 :-) 니트 소재라 그런지 따듯하고 잘 입을게용 *-*♡
skdud**|키가 큰편인데 길이감도 딱 이쁜길이에요 ㅎㅎ색깔도 너무 이쁘고 핏도너무이뻐용❤️스판기는 쪼금 부족하긴한데 치마자체 저 튤립같은 라인이 좀더 날씬해보이는 효과를 주더라구요^^잘산거같아요~
yam**|하얀색 셔츠필요했는데 스판끼있고 깔끔해서 좋았어요! 비침은 하얀색이라어쩔수없고 너무얇을까 걱정했는데 싼티없이 좋았어요!어디 받쳐입기 너무 좋을것같아요입어보고 쓰려고 한달째에 글쓰는데 혹시 적립금 불가능하면 글삭제해주세요ㅠㅠ
ahyun9812**|예뻐요 품이 크고 팔한쪽에 팔두개가다들어갈거같긴한데 그래도 입으면 괜찮다러구요 후드티안에입구 입으면 그냥넉넉한덜도에여
ahyun9812**|그냥 기본템으로 입기좋아요 넘 달라붙지도 않고 그렇다구 너무 크지도 않아서 이거입고 가디건만 걸치기 딱 좋아용 길이도 바지에 넣으면 괜찮아우
ahyun9812**|크기는엄청커요 정말 제 오빠가 입어도 될정도인데 방방하게 입으려면 이뻐요 약간 어깨깡패같은데 질도좋아요 큰거사려면 추천
bed3**|날씬 효과티 아이보리 색상으로 구입하고 후기 남겨요~!생각했던 것 보다 훨씬 더 얇은 것 같아요~~처음 봤을 때는 무척 작아보였는데 스판이 많아서 쭉 쭉 늘어나요!근데 정말 얇아서 여름에도 입을 수 있을 것같아요여름에도 입을 수 있고 봄가을에는 원피스 안에 입을 수 있을 것 같아서활용도 만점이네요~!
dlthgus**|저같은 158인 호빗들에겐 깁니당 !!!저는 수선햇어용안해더 이쁘긴 한데 너무 길어서 하니까 딱 좋네용봄에 살랑살랑 입기 좋아요 도트도 너무 예쁘고블라우스에도 이쁘고 후드티 맨투맨에도 예뻐요
yam**|청자켓 많이 입고다닐때 무난하면서 다르니까 겹칠거생각안하고 입기 좋았어요얇긴 얇아서 안에 따뜻한 후드티,후드집업 챙겨서 입었어요! 밝게입는게 잘어울려서 사봤는데 무난하게 예뻐요! 싸게잘사서좋아요!입어보고 후기쓰려고 한달채웠는데 기간이 헷갈리네요 만약 적립금 못받으면 글삭제해주세요
gll17**|조금 부해보이는 느낌이 없잖아 있었지만 재질도 좋고 착용감도 좋아서 나쁘지 않았어요!박시한핏을 원하시면 추천드립니당!!
su35**|우와 진짜 이미지로 본 거랑 똑같아서 좋았고 색깔도 이쁘고 길이도 엉덩이 좀 덮어주는 길이여서 좋고 친구들이 이쁘다고 해요~!!
dlthgus**|66사이즈 입으시는 분들에게는딱 붙는 핏이에요!저는 좀 헐렁이는 핏을 바랬지만제 살을 탓해야죠 하하하하하하근데 그레이 색깔 진짜 짱짱 예쁜 것 같아요저는 검정색 맨투맨 안에 입으러구요 !!!!굿뜨 당장 구입하세용 ~~♡
yam**|색감이 진짜예뻐서 오자마자 좋아했어요! 청바지 잘안입는데 쟁여야하나 생각할정도였어요 ㅎㅎ 그냥청바지인데 색이 정말예뻐요!! 노란스티치좋아해서 좋았구요 물빠지는거 걱정했는데 연한색옷 많이입었는데 색한번도 안빠졌어요!! 기장 딱좋았고 허리 종아리 다 쪼이지않게 딱 맞는데 허리가 컸어요 저한테는 ㅠㅠ입어보고 후기쓰려고 한달채웠는데 기간이 헷갈리네요 만약 적립금 못받으면 글삭제해주세요
dlthgus**|아이보리 색 샀어욥!!일단 소매가 포인트라서 너무 너무 예쁘구요단추 부분도 숨기는 식으로 잠그는거라 딱 차려입었을 때 더 고급진 느낌 날 것 같아요! !!!예뿝니당 당장 사세욧
389764694**|금요일 무료배송으로 시켰는데 오늘 왔어요 !가방 넘나리 이쁩니다 ㅠㅠ        다른 후기들 보면 냄새난다고 하던데 제껀 냄새도 안나고 좋슴니다 ㅎㅎ 가방도 꽤 커서 많이 들어갈거 같고 최고 퓨ㅠㅠㅠㅠㅠ 수학여행때 맬건데 잘 산거 같아요 (๑˃̵ᴗ˂̵)و  ♡  잘 쓰겠습니다 ~ 번창하세뇨 !
gmlwls123**|이쁩니당!!후기없을때 사서 약간 불안했지만ㅠㅠ 후기쓸때쯤되니까 인기상품으로 되어있네요^_^이쁘니까 고민ㅂ말고 사셔용!!!
gmlwls123**|이뻐용저는 아이보리랑 베이지 둘다 샀는데 개인적으로는 베이지가 더 이쁜거같아요ㅎㅎㅎㅎ 둘다 이쁩니당!!^_^이쁘게입을게요^_^
whgusrma14**|아무옷에나 잘 어울리는 것 같아요! 저는 두개 샀는데 잘 신고 있어요 무난하고 예쁩니당 다음에는 다른 색깔 사야겠어요 !ㅎㅎ
whgusrma14**|일단 색깔은 너무 예뻐요! 근데 신축성이 없어서 입을 때 조금 힘들어요 ㅠㅠ 그리고 저는 엉덩이 살이 있어서 그런지 뒤에가 너무짧고 붕 뜨네요.. 허리는 조금 타이트한 것 같아요. 그래도 가격이 저렴하니 가격대비 괜찮은 것 같아요
whgusrma14**|일단 치마안에 바지가 있어서 너무너무 편해요! 근데 길이가 너무 짧은것 같아요 ㅠㅠ 엉덩이 살이 있어서 그런지 뒤에가 위로 올라가고 붕뜨네요.. 허리는 크지도않고 작지도않고 딱 넉넉해요!
gmlwls123**|많이 달라붙어요!!! 적당히 달라붙어서 괜찮아요!!! 이뻐용약간 어두웅운 핑크색이랍니다!!!!참고하세요많이 파세요^_^
whgusrma14**|사실 가격이 너무 저렴해서 기대 안하고 샀는데 너무너무 예뻐요 팔길이도 적당하고 몸에 딱 예쁘게 달라붙어서 날씬해보이는 것 같아요!
whgusrma14**|저한테 팔이 조금 길기는 한데 그래도 예뻐요! 그리고 아이보리 색이라서 조금 비치긴하는데 안에 나시입고 입으면 그렇게 신경쓰일 정도는 아니에요
gmlwls123**|저는 키가 작아서 ㅁ길었답니당ㅠㅠㅠ그래도 무난무난해요!!!!모델분이 입은 그대로 입었어요ㅋㅋㅋ이쁩니당 번창하세요!!
gmlwls123**|무난한 검정색 티 입니다 ^_^!!!!화이트, 블랙 둘다샀는데 둘다 모두 괜찮아요ㅎㅎ편하게 입을수 있어요 많이 파세용ㅇ 고고싱!!!!
ina01**|생각보다 길이가 좀 짧아요 그냥 편하게 입기좋은것 같아요!!!데일리로 입기좋고 청바지랑  입기좋은 것 같아요!!!!
eddd**|좋아요
ina01**|너무 편하고 집앞 마트갈때 좋아요 가격도 너무 싸고 좋은데 무릎이 좀 잘 늘어나고 보풀이 잘생기는거 빼면 진짜 좋아여ㅠㅠㅠ 사세요.
wjdekdo**|벨트 두께가 딱 제가 생각하던 두께에요!! 크기도 적당히 크고 포인트로 쓰기 좋은 거같아요! 친구들이 챔피언 벨트냐고 놀리긴 했지만 저는 너무너무 만족해욬ㅋㅋㅋㅋ
dmswn10**|재입고가 늦어져서 배송은 느렸어요ㅠㅠ 그래도 옷이 마음에 들어서 괜찮아요ㅎㅎ 색깔이 진짜 딱 베이비피치색 이구요 봄에 입기 딱 좋습니다ㅎㅎ 이거입고 벚꽃구경가면 좋을것같네요ㅎㅎ
symi**|생각보다 얇아용..... 지금 입기 딱 좋은 것가타욤 엄마가 비닐같다고 놀리긴 했는데 전 괜찮으니까 만족해용~~ 추천~~
symi**|정말 예뻐요 살짝 겨울용 재질인거같은데 얇아요 지금 입기 딱 좋은 거 같아요~~ 가격도 ㅈㅓ렴해서 더 좋은것 같네용ㅇ~~
wjdekdo**|생각보다 조금 두껍고 색상은 조금 더 어둡긴 한데 그래도 너무 이뻐요!!이건 진짜 잘산거 같아욬ㅋㅋㅋ 색상도 이쁘고 넉넉해서 편하게 입기 좋아요!
wjdekdo**|사진보다 조금 어두워요 근데 너무 밝은 것보다 더 이쁜거 같아요 봄에 입기 딱 좋은 색이라 자주 입을 거 같아욯ㅎㅎ 사이즈도 넉넉해서 편하게 입을 수 있어요~
dmswn10**|처음에 시크스퀘어로 주문했다가 심플스퀘어로 바꿨구요 크기가 커서 마음에 들어요! 첨에 받았을땐 냄새가 좀 심했는데 바람통하는데 두니까 금방 냄새빠지더라구요ㅎ 퀄리티 좋구요 추천합니다!
dmswn10**|15000원짜리라고 믿기지않는 퀄리티입니다! 진짜 두툼하고 색깔도 너무 아이보리가 아니고 약간 탁한 아이보린데 전 색깔 마음에 들어요ㅎㅎ 단 길이가 좀 짧다고 느껴지실수 있는데 전 괜찮았어요!
khy78**|딱 보자마자 너무이쁨ㅠㅠㅠ배송도 내일올줄 알았는데 오늘오고ㅠ보자마자 걍 너무이쁘구요박음질도 깔끔하고 핏도이쁘고그냥 이뻐요ㅋㅋㅋ질도 좋아용 2만원중후반대 딱 그정도구요속치마도 있고 길이도 적당하고 아주이쁘게 잘 입을것같아요ㅋㅋ
s9506**|크지도 작지도않아서 만족스러웠습니다. 그리고 냄새가 나서 세탁을 했더니 약간 수축되는것 같아요. 그래서 그런지 수축없는 지퍼부분은 쭈글쭈글해져요! 다만 안쪽이라 상관없어서 전체적으로 만족합니다
dmswn10**|허리가 밴딩이라서 편하구요 속치마 길이도 적당하고 안비쳐요!  왼쪽에 박음질때문인지 좀 자글자글한 부분도 있는데 입으면 티안나서 괜찮아요ㅋㅋ 추천합니다! 봄에입기 딱입니다ㅎ 적립금주세용ㅎㅎ
wjdekdo**|와 이건 진짜 신세계!! 슬랙스 처음 사본건데 진짜진짜 편해요!!!! 이건 진짜 강추!!!신기한게 허벅지가 아주 여유로운 것도 아닌데 아빠다리하거나 주저앉아도 끼거나 쪼이는 느낌이 전혀 없어요!! 진짜 고민중이신 분들은 꼭 사세요!!
