wjdtjs2**|친구 선물용 으로 샀는데 무난하게 하고 다니기도 좋고 좋아요 다만 목도리 끝에 메이드인 있어서 조금 아쉬워요 그것 말고는 좋아요!
wpdls**|저는 핑크랑 코코아랑 두개 샀는데요 가격에 비에 진짜 좋은 거 같아요 핑크도 색깔 예쁜 핑크고 코코아가 진짜 예뻐요 근데 길이가 좀 짧긴 하지만 그렇게 짧지 않아서 괜찮은거 같아요 그리고 무엇보다 따뜻하네요 배송은 좀 늦었지만 옷이 예뻐서 맘에들어용 ㅎㅎ
yumin24**|처음에 요즘 인터넷으로 옷 잘안사서 사는걸 듸게 걱정했는데 걱정과 반대로 엄청 마음에 들었던것같아요!색깔도 생각보다예쁘고 커플티 맞췄는데 따뜻하고 예쁘게 잘입은것같아요! 단점은 조금 짧은게 단점인것같아요ㅜ그래도 가격도 저렴하고 좋아요
zzz**|딱 맞진않고 조금 아주 조금 여유있는 핏이에요겨드랑이 쪽에 그냥 실밥 안 다듬어 온줄 알았는데 올이 풀린거여써요 주문하고 엄청 오래있다받은거라 다시 교환보내기도 애매하고 귀찮아서 그냥 입어요 배송지연되서 와서 클렌징 티슈랑 같이왔어요
rmflsvldr**|보자마자 이거다 하고 질럿어요 ㅋㅋㅋㅋㅋㅋㅋ핏도 제가 원하는거여서 만족 대만족 안에 기모 들어서 엄청 추웠던 그날에도 입고 나가도 상체는 추운줄 몰랏다죠 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㄹ엄청따뜻해요 하나 더 사고싶을정도ㅋㅋㅋㅋ
rmflsvldr**|보자마자 동생한테 보여주면서 추천해줬더니 괜찮다고 바로 주문해달라고해서 주문ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 잘 입고 있는거같아요 싼 가격에 이정도면 굿굿ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ좀따뜻해지면 이렇게된거 기모빼고 나오면 이쁠거같네[요ㅋㅋㅋㅋㅋㅋ
rmflsvldr**|괜찮아요 ㅋㅋㅋㅋ근데 제가입으니까 뭔가 어정정한거같은데 제가 코디를 못해서겟죠 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ앞에 달린 지퍼를 없애고 그냥 전부 밴딩이엿으면 더 좋을거같은데 제 키만큼 오시는분은 길이 그렇게길지도 않고 짧지도 않으니 길이걱정은 마시길
fmdrl1**|많이 쪼이지도 않고 편하고 색상도 괜찮아요 싼거라 보푸라기도 많이 일어날줄 알았는데 그렇지도 않고 깜짝놀랬어요ㅎㅎㅎㅎ다른데에서산옷은진짜잘늘어나고그래서다시는인터넷에서안살라했는데앞으로여기서사야겠어요강추
asd72**|옷 온지는 꽤 됐는데 이제 쓰네용 원래 그린 사고 싶었는데 그린이 품절되서 무난하게 네이비색 샀어요..막 그렇게 두꺼운 편은 아니지만 오히려 그게 부해보이는게 덜하고 좋은것 같아요 ㅎㅎㅎ그리고 배송도 빨라요!토요일 저녁에 주문했는데 일요일 배송도 되서 월요일에 와서 잘 입고있어요
lubqlf**|개득템 했어용 따뜻하고 브라운 색깔두 되게 이뻐요 !! 아래 줄 쪼였을 때 조금 아쉽지만 이 가격에 완전 따뚯하고 이쁜거 사서 기분 좋네용 다른 거 때문에 배송이 느리긴 했는데 이 상품받고 만족했어요 !!!! 다른 색도 구매하고 싶습니당 많이 파세요 !!!!!
lubqlf**|입고가 늦게돼서 늦게 받았네요 ㅠㅠ 근데 진한 핑크가 아니라 색도 이쁘고 면도 부들부들 해서 자주 입을 것 같아요 ㅋㅋ !! 근데 목이 많이 쫀쫀하진 않아서 아쉽네용 그래도 따뜻하고 좋아요 ~ 색도 많은데 다른 색도 구매하고 싶습니당 많이 파세요 ~~
qweas17**|원래 회색가지고 있었는데 재구매했어요~ 가격대치고 괜찮은것같고 패딩안에 입든 자켓안에 입든 무난하게 입을 수 있어서 좋았구요. 색깔이 진짜 특이하고 이쁜거 같아요. 니트는 이정도로 만족하고 보푸라기도 이정도면 많이 안나는 것같아요 좋아요
qweas17**|귀여워요 핏이ㅋㅋ ㅋㅋㅋ근데 좀 슬림하게 빠지는 베이직핏인줄 알았는데 조금 박시핏나네용 색깔도 귀엽고 좋아요.옷도 좀 얇긴하지만 안에 기모가 들어있어서 따뜻해요 편하게 입고다니기 좋아요!! 귀여워요, 제키에 엉덩이까지 내려오는 기장이에요
qweas17**|귀여워요 핏이 ㅋㅋㅋ근데 좀 슬림하게 빠지는 베이직핏인줄 알았는데 조금 박시핏나네용 색깔도 귀엽고 좋아요.옷도 좀 얇긴하지만 안에 기모가 들어있어서 따뜻해요 편하게 입고다니기 좋아요!! 귀여워요, 제키에 엉덩이까지 내려오는 기장이에요
smdw0**|옷자체는 얇은편이예요 누빔되어있는데도 얇았구요ㅠㅠ풀어서입거나 잠가서 입어도 괜찮을거 같아서 구매했는데 적당하네용:)너무 추운날아니면 안에 니트입고 걸치기에는 괜찮을거같네요전체적길이랑 소매길이가 너무 길지않아서 좋아요
s9607**|얇을줄 알앗는데 두꺼운 재질이네요 아무옷에도 생각보다 잘어울리고요 마음에 들어서 다행이예요~~~~옷이 너무 귀엽게 생겻서요 ㅎㅎ크기는 정말 커요 !그게 마음에 드네요 가격이 쫌 비싸다 생각해서 고민했지만 그래도 나쁘지 않아요~~
s9607**|생각보다 훨씬 두껍고 재질이 너무 좋아요!!!!하나만 입었는데도 따뜻하고 좋은거 같아요 살까말까 고민하다가 샀는데 사길 잘한거 같네요 처음에 자크가 고장나서 와서 그게 걸렷지만 고치니까 잘되네요 그래도 옷이 마음에 들어서 괜찮앗습니다 ㅎㅎ
smdw0**|첫번째 사진 색감보다는 어두운색상이구요 촘촘하고 목도 잘 처지지않아서 만족합니다!가격대비 질도 좋고 색상도 마음에 들어요:)길이감이 조금짧다고 느꼈구요 그거제외한 나머지는 괜찮은거같아요색상별로구매할 예정입니다 ^ㅡ^
naraez**|원래 블랙 사려고했는데 챠콜빼고 다 품절이여서 살까말까 고민많이했는데 사길잘한거같아요~ 배송은 6일걸렸구용 어제 배송오자마자 입고나갔어요ㅋㅋㅋ 너무예쁨.. 길이도길고 입었을때 가볍고 엄청커요bb 제가 덩치가있어서 어깨가 부각되보이는건 어쩔수없는거같아요ㅠ.ㅠ 덩치있으신분들은 참고하셔서사세요~~ 고고싱에서 첫주문이였는데 배송은 오래걸렸지만 코트가예뻐서 만족이요~
smdw0**|발사이즈 230인데 딱맞았어요~ 저는 발볼이 넓지도않고 그래서 불편한거는 없었어요발이 아프지도않고 남지도않고 적당했습니다!신발신을때 안쪽에 각잡으려고 받침대가 들어있는게 계단내려갈때는 조금 불편한거 빼고는무난한 워커로 신기에 좋은거같아요:)
wjddnjs16**|색상을 차콜로삿는데 생각보다 어두웟지만 입을때 다른옷이랑 매치하기에는 되게 됀찮아가지고 많이 꺼네입게되네요 고고싱에서산 다른 코트에 비하면 팔길이가 좀긴데 팔길이말고 옷길이는 제가 원하는 길이여서 이쁘네요 안좋은점이 먼지같은 솜덩이? 같은것들이 옷에 자꾸 붙네요.. 이거뺴고는 다괜찮아요 은근히 코트가 입어도 따뜻하더라고요 그냥이뻐요
wjddnjs16**|이번에 너무 싸게 할인을해서 코트를 삿는데색은 진짜 이뻐요 근데 목부분이 너무 뻣뻣해서 잘 안접어지는게 좀그래요ㅜㅜ길이도 딱 적당해서 이쁜데 안에있는 주머니에 돈넣다가 안쪽이 뜯어졋더라고요...이거뺴고는 다괜찮은거같아요주머니가 좀 작은게 잇지만 그래도 이삐네요
kese**|배송이 넘 오래걸렸어요 ㅠ_ㅠ한참 추울때 목 높이까지 올라오는 터플 입으려고 주문했던건데 막상 그때는 못 입었네요. 그래도 지금 입기에도 도톰하니 좋아요. 스키니에 잘 어울려서 편하게 입을 수 있을 것 같아요. 코트에 매치해서 입으면 예뻐요.
kese**|도톰해서 좋아요.원래 원피스나 치마를 좋아하는데 요즘 날씨가 워낙 추워서 바지만 입고 다녔었거든요. 그런데 이렇게 도톰한 스커트가 나와서 바로 질렀네요. 뒷면에 밴딩처리가 돼 있기는 하지만 사이즈 55까지만 입으실 수 있을 것 같아요. 마냥 편하지는 않아요^^;
wjddnjs16**|처음에 보자마자 이뻐서 살라그랫는데 돈이부족해서 못삿어요이번에 할인하면서 많이 싸져서 사네요 가격에 비하면 퀼리티가 대게 괜찮은거같아요안에 기모도 보들보들하고 느낌이 좋네요길면 접어서 입으려고그랫는데 길지않고 길이가 적당해서 괜찮아요그레이말고 다른색상이 더 추가된더면 사고싶네요 ㅎㅎㅎ
kese**|사이즈가 많이 넉넉한 편이에요.단품으로 입기엔 무리가 있을 것 같고 니트 베스트랑 함께 입으면 좋을 것 같아요. 평소 이런 원피스 좋아해서 샀는데 적당히 도통해서 잘 입을 것 같네요. 워커랑 같이 매치하면 이쁜 듯요~!! 와인색 샀는데 그린색도 갖고 싶네요 ㅎ
kese**|생각보다 많이 도톰해요.겉옷을 함께 입을 수 있는게 별로 없네요 ㅎㅎㅎ제가 살집이 많아서 그런걸까요 ㅠ_ㅠ ㅋㅋㅋㅋ어쨌든 포근하고 따뜻해요. 모델분 입은 것 처럼 원피스에 코디 해 입으려고 샀는데 어쩐지 저한테는 어울리는 디자인은 아니라 스키니에 함께 입고 있습니다~
kese**|가격이 저렴해서 속는셈치고 한번 사 봤어요.일단 쉐입이 매우 넉넉해서 두꺼운 겨울옷과 함께 입기 좋아요.두께는 그리 두껍지 않아서 너무 추운 한 겨울에만 빼고 입을 수 있을 것 같아요. 옷이 올때 너무 구겨져서 와서 다림질을 해서 입어야 할 것 같아요 ㅠ_ㅠ 요점이 좀 아쉽네요~
wjddnjs16**|포토후기 3등이에요 앞에분들이 3등이라고 안하셧길래바지 색상이 은근히 진하던데 이뻐요색상이 진하다보니까 왠만한 색상 맨투맨에도 매치하기 편해서 되게 괜찮은거같애요안쪽이 살짝 거칠거칠해서 따가운데 그거뺴고는 다 맘에들어요뒷부분이 밴딩이라서 잠그기도편하고 입기도편에서 좋은거같애요
kongyu**|지금날씨에입기에는조금얇아서추울수도있지만껴입어서입으면이쁘고괜찮은거같아요!!색깔도입으면입을수록너무색감이이쁜거같아서완전좋아요.다른색도오렌지만큼이나이쁠꺼같아서사고싶네요.이쁘게잘입을께요!!
wlgp24**|제개 고고싱에서 옷을 처음 시키는데 배송도 빨리 되고박시한 느낌이여서 편하고 이쁘더라요 그리고색이 많아서 고민하다가 브라운색상을 구매했는데브라운 보다는 연카키색 느낌이들더라고요진짜 하나더살껄 이라는 후회가들더라고요제 취향저격인것같아요
ksm114lala**|배송이 좀 많이늦긴했지만..! 그래도 배송오고나서 포장을 뜯어보니 색도 제가딱 원하던 아이보리 컬러였고 제가 원하던 느낌이라 옷은 아주 마음에들었어요 다만 사이즈가 저한텐 좀 많이 커보이는 느낌이 있었고 재질도 좀 얇아서 약간은 아쉽긴하지만 대체적으러 마음에들어용^.^
ksm114lala**|배송이 좀 많이늦긴했지만..! 그래도 배송오고나서 포장을 뜯어보니 색도 제가딱 원하던 아이보리 컬러였고 제가 원하던 느낌이라 옷은 아주 마음에들었어요 다만 사이즈가 저한텐 좀 많이 커보이는 느낌이 있었고 재질도 좀 얇아서 약간은 아쉽긴하지만 대체적으러 마음에들어용^.^
ksh0714**|클꺼라고 생각은 했지만 좀 많이 컸어요!! 근데 그렇게 이상하지도 않고 나름 박시하게 입으니까 괜찮은 거 같아요 ㅎㅎ 저한테 조금 커서 동생이랑 같이 입기도 좋아요~~ 그리고 생각한 것 보다 두꺼워서 따뜻하고 좋았어요  이렇게 두꺼운지 모르고 껴입었는데 살짝 더웠어요
wlgp24**|주문하고 이틀만에 와서 좋았어요!근데 이옷을 입었는데 크롭티가 되네요...아래부분이 짧드라고요 아래가 짧고 넓어보여서 먼가이상하드라고요.. 그리고 어깨가 넓어보여서..좀 별로였어요
ksh0714**|끈이 있어도 되고 없어도 되서 너무 편하고 좋아요 그리고 크기도 작지도 않도 적당해서 많이 들어가서 자주 들고 다닐 수 있어요 싼 가격인데 싸보이지도 않아요 배송은 조금 결렸지만 그래도 그렇게 많이 늦지 않고 문자도 보내 주셔서 너무 좋았어요~~
prk5**|색상도 너무 고급지고 구김도 별로 안가서 종아요사진으로 못 보내서 조금 아쉬워요애들이 입고 나갔는데 이쁘다고 나리예요저 고고싱 팬 됐어요다른색상도 사고 싶엇지만 제가 특히 버건디 색상을 좋아해서...디지인도 세련되고 부해 보이지도 않아서 종아요
1710858585824384**|음  제가 이바지 친정중청으로 두개를 삿는데 두개가 색쌀이 엄청나게 비슷해서 조금후회햇구 생각보다 크기도 좀 많이 커요 그래서 한사이즈더적거 사시면 될거같아요 ~  은근 바지는 이쁘구 괜찬은거 같습니다  ~  (그리고 배송이 무지 빨라요 ! 시키고 바로 다음날 도착햇습니다 )
seoyeong07**|제가키가작아서 진짜 살때고민정말많이햇는데 진짜잘산듯 .. 네이비삿는데 색도이쁘구 길이도 허벅지끝? 입고다닐수는잇을거같아요 ㅋㅋㅋㅋ부피가조금 큰것같지만 따뜻하구 좋은것같아요 키가 적당히크신분들께는 핏이정말 이쁘게잘어울릴것같아요 ,,
eblee**|널널하고 따뜻해서 진짜 어디갈때든 입기 편해요앞에 주머니도 ㅣㅇㅆ어서 편하게 입을수 있고특히 세일할때 사서 진짜 저렴하게 구입했네요다음에 하나더 사고싶어요~!!크기도 널널해서 누구든지 입기 좋을 것 같아요고민하지마세요~~!!
eblee**|너무 예뻐요ㅜㅠㅠㅠㅠㅠ너무 싸서 걱정했는데다른데서는 비싸게 팔던데 진짜 저렴하게 예쁜 목도리 하나 샀네요~~~!!목도리 크기가 커서 진짜 추울떼ㅐ는 덮을수도 있을것 같아요~~너무예뻐요!고민하지 마시고 꼭사세요잘쓸께요~!!^^
kys89**|목까지올라오는 니트 찾다가 두툼하고 예쁜 니트 보고 바로주문했어요!!별로 비싼가격도 아닌데 진짜 두툼하고 면도 부드러워서 맨살에 닿을떄도 괜찮네요 ㅎㅎ역시 믿고사는 고고싱니트!!올해 고고싱에서만 니트 3개는 산거같아요~~ 길이도 적당하고 앞뒤길이가 달라서 그게 더 예쁜거 같아요
prk5**|쁘띠브띠 완전 고급스러워요..사이즈도 적당하고 아무옷이나 매치가 잘되요
seoyeong07**|와이드팬츠는처음사보는거라 안어울릴까봐 걱정많이햇는데 정말 잘산것같아요 !! s시켯는데 길이도 적당하게 핏도 정말이쁩니다   색도 화면보다는좀어두운? 느낌이지만 좋습니다 좀 얇은감이없지않아잇지만 안에스타킹신고입으려구요 ㅎㅎ
uhs08**|제가 키가 작아서 그런지 저한테는 좀 박시한거 같아요 뭔가 남자 옷입은 느낌??이랄까..? 그래도 청바지에 입어도 이쁘고 맘에 들어요!!!옷이 좀 두꺼워서그냥 입어도 괜찮을거같고요 ㅎㅎ 저 자크는 안내리는게 더 이쁜거같아요 ㅎ 저한테 안어울려서 ㅋㅋㅋ전 자크 내리는건 비추천입니다! 그래도 옷 이뻐요 잘입을게요
